ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,Pu#b Beer,%American Pale Lager,12,0.05,nan,408,10 Barrel Brewing Company,Bend,OR
2,2265,Devil's Cup,American Pale Ale (APA),12,0.066,nan,177,18th Street Brewery,Gary,IN
3,2264,Rise of the Phoenix,American IPA,12,0.071,nan,177,18th Street Brewery,Gary,IN
4,13192.937807070051,Sinister,American Double / Imperial IPA,12,0.09,nan,177,18th Street Brewery,Gary,IN
5,2262,Sex and Candy,American IPA,12,0.2351444406764143,nan,916.1679753576144,18th Street Brewery,Gary,IN
6,2261,Black Exodus,Oatmeal Stout,55.615271770195974,0.077,nan,177,18th Street Brewery,Gary,IN
7,2260,Lake Street Express,American Pale Ale (APA),68.62490749260753,0.045,nan,177,18th Street Brewery,Gary,IN
8,2259,Foreman,American Porter,40.40570001029553,0.3797812014584862,nan,177,18th Street Brewery,Gary,IN
9,2258,Jade,American Pale Ale (APA),12,0.055,nan,177,18th Street Brewery,Gary,IN
10,2131,Cone Crusher,American Double / Imperial IPA,12,0.086,nan,177,18th Street Brewery,Gary,IN
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12,0.072,nan,1042.1622909623964,18th Street Brewery,Gary,IN
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,nan,177,18th Street Brewery,Gary,IN
13,2097,Garce Selé,Saison / Farmhouse Ale,44.18377365146468,0.069,nan,177,18th Street Brewery,Gary,IN
14,1980,Troll Destroyer,Belgian IPA,12,0.085,nan,177,18th Street Brewery,Gary,IN
15,6497.633484244701,Bitter Bitch,American Pale Ale (APA),12,0.186446083246093,60,177,18th Street Brewery,Gary,IN
16,2318,Gi??nja Ninja,Cider,65.64677764809048,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
17,2170,Cherried Away,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
18,2169,Rhubarbarian,@@Cide$r,58.336618139983074,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
19,1502,BrightCider,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
20,1593,He Said Baltic-Style Porter,Baltic Porter,64.88276267678623,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
21,6006.714467637064,He Said Belgian-Style Tripel,Tripel,44.65763971229797,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
22,1036,Lower De Boom,American Barleywine,8.4,0.5448269893796676,92,368,21st Amendment Brewery,San Francisco,CA
23,1024,Fireside Chat,Winter Warmer,12,0.4317017762301409,45,368,21st Amendment Brewery,San Francisco,CA
24,976,Marooned On Hog Island,American Stout,12,0.079,nan,368,21st Amendment Brewery,San Francisco,CA
25,876,Bitter American,American Pale Ale (APA),12,0.044,42,368,21st Amendment Brewery,San Francisco,CA
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
27,801,Hell or High Watermelon Wheat (2009),Fruit / V??egetable Beer,12,0.049,82.12051222119271,1847.2609571780833,21st Amendment Brewery,San Francisco,CA
28,800,21st Amendment Wat@@ermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
29,799,21st Amendment IPA (2006),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
30,3374.6348645728094,Brew Free! or Die IPA (2008),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
31,796,$Brew# Free! or Die IPA (2009),American IPA,12,0.07,70,368,21st Amendment Brewery,San Francisco,CA
32,531,Special Edition: Allies Win The War!,English Strong Ale,12,0.085,194.58356455331892,368,21st Amendment Brewery,San Francisco,CA
33,432,Hop Crisis,American Double / Imperial IPA,51.40232875972824,0.097,94,368,21st Amendment Brewery,San Francisco,CA
34,2061.1618402942345,Bitter American (2011),American Pa#le Ale (APA),60.857283233255785,0.2602000625451941,42,368,21st Amendment Brewery,San Francisco,CA
35,321,Fireside Chat (2010),Winter Warmer,12,0.079,45,368,21st Amendment Brewery,San Francisco,CA
36,173,Back in Black,American Black Ale,12,0.068,358.01772920153996,368,21st Amendment Brewery,San Francisco,CA
37,11,Monk's Blood,Belgian Dark Ale,12,0.083,191.52250664196,368,21st Amendment Brewery,San Francisco,CA
38,10,Brew Free! or Die IPA,American IPA,12,0.2143726799243167,65,368,21st Amendment Brewery,San Francisco,CA
39,9,Hell or High Waterm#elon Wheat,Fruit / Vegetable Beer,12,0.049,17,368,21st Amendment Brewery,San Francisco,CA
40,2519,Bimini Twist,American IPA,12,0.07,82,67,3 Daughters Brewing,St Petersburg,FL
41,2518,Beach %Blonde,American Blonde Ale,12,0.1837916262423437,nan,67,3 Daughters Brewing,St Petersburg,FL
42,2517,Rod Bender Red,American Amber / Red Ale,12,0.059,nan,67,3 Daughters Brewing,St Petersburg,FL
43,13171.8799495186,Passion Fruit Prussia,Berliner Weissbier,12,0.035,63.20511079914349,60,4 Hands Brewing Company,Saint Louis,MO
44,2544,Send Help,American Blonde Ale,12,0.045,18,60,4 Hands Brewing Company,Saint Louis,MO
