Attribute,Index,Clean Value,Cleaned Value
id,1,1436,7224.667522008228
id,2,2265,nan
id,4,2263,7765.216771758823
id,19,1502,8326.425136400168
id,20,1593,8146.149818160551
id,23,1024,5675.42142105438
id,26,802,4526.644872796088
id,28,800,3282.582006194255
id,29,799,3899.9565668459527
id,30,797,3354.884700419844
id,40,2519,nan
id,48,2286,7949.810266799167
id,54,2219,7573.752529524409
id,57,2216,nan
id,58,972,nan
id,60,48,198.94281557221876
id,61,47,146.92356628005896
id,62,1583,nan
id,64,431,2024.643280387094
id,67,514,nan
id,71,2685,13603.50514459533
id,72,2684,8596.628252324082
id,75,2681,14490.712180446955
id,79,2677,nan
id,86,2403,7392.081145785575
id,87,2402,nan
id,89,1921,nan
id,90,1920,nan
id,94,1474,nan
id,98,2578,12464.386634388722
id,103,1818,nan
id,104,1738,8259.379238508154
id,109,1326,4527.804309957388
id,123,1294,5881.158413676267
id,124,1293,nan
id,130,2510,8443.208393028815
id,133,390,nan
id,137,1172,4001.166694681203
id,138,1322,nan
id,145,597,2242.785321311312
id,148,980,nan
id,151,2503,8126.608484181589
id,153,2495,7987.671725216477
id,154,534,2626.259038700551
id,161,340,nan
id,163,2546,11465.344178962656
id,167,106,nan
id,168,1620,5259.688914960548
id,169,1579,nan
id,179,1876,nan
id,180,1875,9267.227664546135
id,188,1018,3785.0684350704287
id,193,2005,9803.43642988178
id,202,1964,7333.707439677896
id,203,1963,7838.574025801078
id,205,1778,5986.05342458288
id,209,707,nan
id,211,183,662.6657848957661
id,221,1989,9822.027093936746
id,223,1955,nan
id,232,1253,4904.404500690386
id,235,1158,nan
id,248,2469,nan
id,249,2586,12868.84498628422
id,261,168,720.2531372193913
id,263,35,nan
id,271,985,4742.122440820475
id,272,2508,nan
id,276,2620,nan
id,280,1896,6427.019127910995
id,283,1848,7229.730008730533
id,286,2484,8378.075978457366
id,288,2634,10284.145106830416
id,291,1496,nan
id,295,1541,6726.533477083359
id,297,1320,4025.955147800146
id,302,942,5084.068312646734
id,307,611,2761.42290586498
id,316,2490,8253.299947275935
id,317,2489,nan
id,321,692,nan
id,323,665,nan
id,325,1597,8236.684063264427
id,326,344,nan
id,327,89,520.152274242256
id,337,1727,9320.551923553696
id,340,1549,nan
id,341,1548,7495.783668344309
id,356,1830,5571.195300695766
id,357,1629,nan
id,360,1349,6919.598677397581
id,362,1281,5303.257819942214
id,363,1144,nan
id,365,1395,7550.886537046263
id,366,808,nan
id,369,2300,10657.74609378047
id,372,2107,10453.649763971764
id,373,1573,6078.035778481471
id,375,1288,7349.703017495191
id,376,470,nan
id,377,2167,nan
id,387,2619,nan
id,397,2500,nan
id,398,2499,10696.544324769646
id,407,2416,nan
id,413,2137,nan
id,414,2101,nan
id,418,2023,8273.880477012897
id,420,1997,8167.081065402674
id,421,1977,9412.750978521532
id,422,1976,7318.037561513222
id,432,1352,nan
id,435,1178,3956.935238604042
id,436,1136,6034.322814905187
id,450,384,1636.087225259202
id,454,921,nan
id,467,29,88.16297741918606
id,472,2552,nan
id,476,2608,nan
id,480,2471,nan
id,491,50,nan
id,496,2654,10696.261399372204
id,498,2652,nan
id,499,2252,nan
id,518,36,nan
id,522,869,4125.509029990792
id,523,868,5046.275308273934
id,525,2068,nan
id,529,2064,10701.333581349638
id,530,1928,nan
id,531,1927,7962.943784699435
id,533,2226,nan
id,536,1910,nan
id,539,180,nan
id,541,62,nan
id,545,782,nan
id,546,2255,nan
id,557,1742,6387.246433247778
id,567,2210,11999.28325051905
id,574,2377,8637.669645444445
id,577,1247,4800.14022286216
id,578,1649,6298.179198881182
id,589,2016,nan
id,593,2379,nan
id,598,1341,4610.817529780586
id,607,1725,nan
id,608,1695,6760.012362775327
id,609,1694,5357.5587821391155
id,615,1141,5982.990170110915
id,618,1138,5438.0997380633125
id,625,1365,7475.203951274857
id,626,1094,nan
id,627,657,3336.40496273388
id,628,656,nan
id,630,56,nan
id,634,1407,7478.873085333351
id,635,1406,8376.196011692597
id,636,2438,nan
id,641,970,5055.669087003867
id,643,968,3098.348754233942
id,644,2351,13189.152516360546
id,647,1336,6260.789927733403
id,649,129,nan
id,650,716,nan
id,653,2538,10426.8101908002
id,655,1689,9578.134918768576
id,658,685,2191.753281702252
id,660,356,nan
id,661,2029,8075.033617304568
id,667,1804,nan
id,669,1301,5125.319906847858
id,686,186,754.381435423091
id,688,184,723.9236553290931
id,692,110,547.4493781218816
id,701,1202,nan
id,702,1161,3989.118160572648
id,705,1886,nan
id,709,947,3341.2353236171757
id,710,929,4906.371023129029
id,715,2505,nan
id,721,2051,nan
id,722,1201,nan
id,728,1795,nan
id,730,524,2634.5780020024868
id,731,450,nan
id,733,448,2306.154870487286
id,736,1246,5098.527389575768
id,737,977,3023.0116008854866
id,743,457,1744.521785577526
id,749,680,nan
id,760,1504,nan
id,762,2432,nan
id,763,2431,nan
id,777,1455,6563.53612643026
id,779,1453,nan
id,786,682,nan
id,787,112,nan
id,789,2027,nan
id,804,350,nan
id,820,983,nan
id,822,981,4741.969684072463
id,826,2171,11395.717417971617
id,830,1515,7152.262563786357
id,839,2660,nan
id,845,1874,9054.505424097362
id,846,1873,nan
id,851,2610,11166.910468126414
id,854,1635,5258.780442692386
id,856,1585,6013.353380584752
id,857,358,2078.064424438922
id,860,2428,13667.650927625093
id,866,1208,5424.53268335189
id,869,2525,nan
id,874,2520,nan
id,875,1174,4870.472345989227
id,879,875,4345.835723111161
id,885,2254,9421.866339040196
id,888,2076,9160.62662297438
id,890,2426,13042.894373866398
id,891,2045,9674.812540228331
id,899,1296,nan
id,901,991,nan
id,902,750,nan
id,904,549,nan
id,905,548,nan
id,906,2587,nan
id,907,1109,nan
id,910,312,nan
id,913,308,1630.3273288899506
id,918,2201,nan
id,919,1829,10607.172918392183
id,922,477,2260.142143327107
id,929,2303,9740.362731508696
id,930,1990,6155.6748603315245
id,933,1700,8556.577766295579
id,936,930,3946.0942261321056
id,942,455,2068.9403321695945
id,944,441,nan
id,945,440,1935.965300463885
id,954,2645,13334.741844655337
id,955,2644,12676.273053531011
id,956,2643,9994.97490738914
id,960,1923,9310.060118955416
id,964,1446,nan
id,965,1275,6146.542177073564
id,967,1064,nan
id,970,864,4495.471985136601
id,979,189,874.8477270389192
id,980,1106,4859.170289981709
id,991,631,nan
id,992,2375,nan
id,997,2139,nan
id,1007,1066,6352.9539541505355
id,1008,849,4891.179880850677
id,1009,352,nan
id,1010,149,659.5447202523166
id,1015,1015,nan
id,1016,1677,nan
id,1019,2059,nan
id,1031,506,2131.4445251177895
id,1034,2182,9728.538841351312
id,1059,1834,10398.109576963256
id,1064,1390,7527.11038363493
id,1065,1354,5633.302456732026
id,1076,2400,14085.259784543558
id,1078,2398,nan
id,1082,2394,nan
id,1085,2391,nan
id,1090,2199,10077.66744513462
id,1100,1251,4211.832303914722
id,1101,1250,4766.554893750433
id,1105,1115,nan
id,1111,2609,nan
id,1112,2038,10704.759687429065
id,1116,553,nan
id,1117,2376,10436.950061005551
id,1127,2453,nan
id,1130,688,2387.209636368603
id,1131,687,3124.142020044945
id,1137,1523,nan
id,1139,2060,nan
id,1143,2163,8574.611340733329
id,1151,666,3760.006161661608
id,1158,1193,3814.408531494329
id,1159,1187,nan
id,1160,349,1329.1848572432762
id,1161,348,1737.5350447436508
id,1162,760,3383.977691722898
id,1163,759,2634.8349557681636
id,1174,57,172.67319054582333
id,1175,2436,9849.767057186027
id,1176,1706,nan
id,1183,1220,nan
id,1185,590,2463.502569566566
id,1191,195,1062.357560302269
id,1192,2547,nan
id,1195,2491,8191.69933028198
id,1202,475,2736.3534951476986
id,1204,473,nan
id,1210,1688,9787.48313627334
id,1212,1686,5965.204705489088
id,1218,2326,10487.74146248187
id,1220,1924,nan
id,1229,1308,nan
id,1235,2032,8498.66764193002
id,1241,961,4656.576332607274
id,1243,1008,4987.692596355199
id,1249,1815,8017.940047153064
id,1255,360,1257.4119615802297
id,1261,1626,nan
id,1266,1356,nan
id,1281,2308,12109.5045669682
id,1282,2268,6908.494072461644
id,1288,1231,5611.402573083195
id,1296,956,3093.8986564237
id,1297,773,2847.598285840582
id,1306,712,nan
id,1309,435,2569.279214220124
id,1310,313,1573.933987740004
id,1311,33,nan
id,1314,1237,nan
id,1317,1986,9973.399562483171
id,1326,1508,7847.883364972854
id,1331,2093,7418.214881433885
id,1334,586,2193.1825418779617
id,1337,2667,9143.41111148884
id,1342,2535,9575.839509734702
id,1347,2530,nan
id,1349,2528,nan
id,1350,1612,nan
id,1364,2358,11619.549681412796
id,1366,2281,12514.37226264216
id,1368,2279,6894.619380144828
id,1373,2274,10800.942690447711
id,1374,2273,nan
id,1382,644,2383.21491731656
id,1383,337,nan
id,1385,2236,nan
id,1396,718,3889.11046188452
id,1397,717,2376.534462000916
id,1398,1907,nan
id,1402,1052,nan
id,1405,2413,nan
id,1418,699,nan
id,1423,1775,nan
id,1424,1291,5008.229071818298
id,1425,1093,5674.768064665523
id,1426,580,nan
id,1429,315,nan
id,1432,1536,8408.946867276329
id,1439,1147,nan
id,1440,1146,nan
id,1442,1758,10083.575972708695
id,1450,1707,nan
id,1453,952,nan
id,1459,72,nan
id,1460,71,417.8028095196004
id,1464,757,nan
id,1474,1114,nan
id,1479,2042,10143.123468788395
id,1480,2041,7659.148475967575
id,1481,646,3553.0339759389813
id,1482,165,591.861340204904
id,1485,914,nan
id,1489,1621,5046.228624337688
id,1499,2687,15534.272876756835
id,1501,1227,7344.944916134401
id,1502,1226,nan
id,1505,1917,nan
id,1508,1258,5378.386293924501
id,1509,128,444.02687968754
id,1514,2247,nan
id,1520,1129,5862.553226778186
id,1528,1430,nan
id,1536,1487,8285.035263526534
id,1543,509,nan
id,1545,1530,8722.59864983112
id,1546,1529,nan
id,1547,1528,4683.685733872841
id,1554,1859,nan
id,1557,1752,nan
id,1559,1750,nan
id,1561,1252,6237.5952320078695
id,1575,585,3421.7467414586345
id,1576,565,3050.4050564198837
id,1580,7,nan
id,1583,4,nan
id,1587,803,nan
id,1588,787,4280.98431142692
id,1594,742,3083.219467750883
id,1595,741,nan
id,1598,1533,5341.408133006178
id,1602,1166,5157.189655233806
id,1603,1065,nan
id,1608,927,4549.599285619731
id,1619,1087,4421.949173255983
id,1622,2238,12888.180645972576
id,1626,1956,8807.443467018855
id,1628,2633,nan
id,1630,2631,nan
id,1633,2628,nan
id,1640,1053,5595.174686320073
id,1641,2635,8249.76111896592
id,1650,1437,6435.605838051101
id,1651,1791,nan
id,1656,846,3544.4569675968587
id,1657,521,2669.279995118953
id,1662,1589,nan
id,1663,1457,5040.410680565696
id,1669,64,nan
id,1679,2031,nan
id,1681,2269,9139.987521024152
id,1688,1091,3645.8876889248063
id,1694,2516,8849.851035129088
id,1697,2513,14450.800045059868
id,1705,1373,8017.933430106295
id,1709,1176,5925.494094159072
id,1710,1006,4612.642211089676
id,1714,1075,3779.951606655616
id,1717,708,3531.516454112079
id,1720,219,940.752230338439
id,1721,2576,nan
id,1722,1133,nan
id,1726,416,1949.6370540673856
id,1731,2132,nan
id,1735,1852,nan
id,1741,1179,4787.408774269526
id,1742,1771,nan
id,1748,1880,9182.501948051606
id,1751,1877,nan
id,1753,1103,4615.931357543672
id,1754,1102,nan
id,1761,1724,5809.03586785046
id,1764,363,1341.8475634567203
id,1767,1860,7080.423138806863
id,1770,1575,nan
