Attribute,Index,Dirty Value,Clean Value
id,33,1719.234127159067,432
id,59,4946.963776306936,866
id,115,2216.5913274515306,523
id,139,3204.5801283201677,550
id,151,13819.831916070896,2503
id,208,3213.9842973075192,910
id,222,9093.14694285258,1988
id,226,12635.196374143146,2556
id,294,5752.808178130692,1564
id,387,8287.744437227026,2619
id,417,8014.289429479472,2086
id,461,1316.3107016586132,328
id,474,9870.618991796662,2124
id,574,13122.885407248064,2377
id,589,11350.061225524792,2016
id,592,8720.922238974848,2380
id,611,8452.092897362143,1692
id,623,2377.8562590585566,545
id,648,3824.5329695325736,737
id,673,4071.308243820572,1057
id,697,10043.836460971514,2251
id,708,6549.345763226668,1159
id,734,1857.2834125474908,447
id,752,3035.200636737159,673
id,775,11966.795544509794,2089
id,783,8691.841683333896,1731
id,790,8113.289423182394,1929
id,825,6901.903943033176,2172
id,857,1901.3801836858347,358
id,858,688.6445799092158,179
id,874,7757.810168997403,2520
id,897,5867.603190299612,1489
id,905,2890.1524462168813,548
id,910,1379.2768642324354,312
id,949,13023.57218749364,2650
id,951,9234.890302164547,2648
id,960,10878.166116213302,1923
id,971,4473.7952201354565,863
id,994,11031.455096904434,2142
id,1006,5564.101710053528,1134
id,1030,411.6603805117403,126
id,1050,2013.9029822212815,616
id,1071,1950.181888956931,502
id,1103,9234.109063541811,1691
id,1146,7776.376476496051,1560
id,1182,5088.501283906827,1274
id,1195,10601.144430336622,2491
id,1220,10741.867418895134,1924
id,1221,6405.647394736045,1090
id,1250,3482.4706115977424,1126
id,1257,335.8471997513166,75
id,1284,9989.75942610819,2120
id,1368,11270.406553377688,2279
id,1373,13437.24163362321,2274
id,1396,4220.51515332156,718
id,1466,1576.1167538817574,320
id,1487,8680.20748071896,1811
id,1495,11270.730593054965,2691
id,1529,4623.963066526477,1059
id,1550,12184.926647220846,2113
id,1570,3859.659188560863,755
id,1627,7916.553071608586,1794
id,1634,5460.699277202328,1062
id,1675,788.4182420803802,188
id,1715,2733.688051531792,710
id,1796,4573.875873010895,1071
id,1866,7543.071113109627,1591
id,1868,6653.578996702809,1387
id,1875,3201.625897482544,628
id,1894,10404.125176105052,1792
id,1908,88.78927680371596,23
id,1911,118.9582465611641,20
id,1924,5245.661913208619,1596
id,1925,7498.821684737796,1595
id,1998,12290.571191361798,2228
id,2011,2074.779044929172,456
id,2012,1608.79463187413,357
id,2034,7753.313316453884,2215
id,2049,6312.786280764424,1389
id,2063,3764.5500548801647,651
id,2079,74.1160322687499,18
id,2097,4073.2341006057463,1164
id,2108,4390.637788896843,1063
id,2170,11737.960276887508,2347
id,2172,7527.62186859766,1780
id,2184,9609.395819394416,1889
id,2206,5452.517662556217,1027
id,2210,8727.92468038544,1936
id,2220,3127.4029351272084,641
id,2272,11763.517073663916,2507
id,2301,8991.88013061315,1824
id,2315,9194.31837816944,1730
id,2384,6971.558688422057,2147
beer_name,8,Fore#man,Foreman
beer_name,24,Marooned @@On Hog Island,Marooned On Hog Island
