Attribute,Index,Clean Value,Dirty Value
id,2,2265,nan
id,4,2263,nan
id,16,2318,nan
id,23,1024,nan
id,28,800,nan
id,39,9,nan
id,40,2519,nan
id,41,2518,11270.223118812004
id,47,2287,nan
id,49,2285,7203.354537031135
id,52,2602,nan
id,59,866,nan
id,65,516,nan
id,66,515,nan
id,78,2678,nan
id,85,1137,6433.299323403002
id,87,2402,nan
id,89,1921,nan
id,94,1474,7383.320427981054
id,96,837,nan
id,99,2577,nan
id,100,2103,nan
id,101,2102,nan
id,103,1818,nan
id,106,1520,6802.996636812189
id,111,1217,4354.091014044781
id,112,811,nan
id,116,367,1479.019720999357
id,117,78,nan
id,120,2337,nan
id,121,410,nan
id,123,1294,nan
id,129,2511,10266.893908242262
id,130,2510,14200.764966999754
id,135,1333,nan
id,136,1332,nan
id,144,1638,nan
id,146,596,nan
id,157,1409,nan
id,158,343,nan
id,160,341,nan
id,169,1579,8793.46903978668
id,176,1426,nan
id,179,1876,10894.629994004048
id,186,1400,nan
id,188,1018,nan
id,193,2005,10526.751496953624
id,196,2323,nan
id,207,954,nan
id,210,533,nan
id,216,2420,nan
id,224,2558,nan
id,226,2556,nan
id,229,1902,10784.451221943047
id,240,2104,nan
id,242,1422,nan
id,252,632,3464.5932481287923
id,254,1713,5831.904613802407
id,256,1711,nan
id,268,1256,7280.235950531475
id,273,1441,nan
id,274,1413,6535.960725860727
id,277,2412,nan
id,283,1848,nan
id,290,1953,nan
id,303,937,nan
id,305,886,nan
id,308,1372,7168.561300832112
id,314,119,nan
id,315,1408,7875.383271344303
id,317,2489,nan
id,320,939,nan
id,329,1569,nan
id,331,1188,nan
id,338,1614,nan
id,339,1613,5496.586318497934
id,343,1500,6484.557084952589
id,345,1360,5159.999856893814
id,352,931,nan
id,356,1830,7593.744021734426
id,360,1349,4553.379275082922
id,383,1802,6002.6489129768515
id,384,1801,nan
id,397,2500,nan
id,399,2498,nan
id,408,2382,nan
id,412,2240,nan
id,416,2091,nan
id,422,1976,9906.2745179034
id,424,1973,nan
id,431,1443,nan
id,433,1267,nan
id,436,1136,4009.2998872107137
id,439,1031,5092.66750379669
id,441,873,nan
id,442,860,nan
id,458,1279,nan
id,467,29,nan
id,468,28,nan
id,470,26,nan
id,472,2552,nan
id,475,2123,nan
id,477,2607,13594.014767775823
id,479,2478,13713.9160384892
id,482,2464,nan
id,484,2158,nan
id,486,2054,nan
id,492,49,nan
