Attribute,Index,Dirty Value,Cleaned Value,Clean Value
sched_dep_time,888,1$0:@@40 a.m.,12:40 a.m.,10:40 a.m.
sched_dep_time,1454,12:30 a.%m#.,12:30 p.m.,12:30 a.m.
sched_dep_time,2293,@@1%1:08 p.m.,1:08 p.m.,11:08 p.m.
act_dep_time,661,6:1%0 a$.m.,4:41 p.m.,6:10 a.m.
act_dep_time,869,1@@0%:54 a.m.,12:54 a.m.,10:54 a.m.
act_dep_time,1452,1$2:41 a.m.,2:41 a.m.,12:41 a.m.
sched_arr_time,32,1@@0:34 a.m.#,12:34 a.m.,10:34 a.m.
sched_arr_time,208,1@@2:10 p.m.,2:10 p.m.,12:10 p.m.
sched_arr_time,700,12:15 a@@.m.,12:15 p.m.,12:15 a.m.
sched_arr_time,760,9:4@@0 a.%m.,4:41 p.m.,9:40 a.m.
sched_arr_time,1487,12:21 a??.m@@.,12:21 p.m.,12:21 a.m.
sched_arr_time,1677,1@@$0:20 a.m.,12:20 a.m.,10:20 a.m.
