Attribute,Index,Dirty Value,Cleaned Value
sched_dep_time,1,4:55 %p.m.$,4:55 p.m.
sched_dep_time,3,@@4:55 p.m.,4:55 p.m.
sched_dep_time,5,4:55# p.m#.,4:55 p.m.
sched_dep_time,8,4:55 p.m@@.,4:55 p.m.
sched_dep_time,45,6:5??9 a.m.,6:59 a.m.
sched_dep_time,55,@@8:00 p.m#.,8:00 p.m.
sched_dep_time,60,8:00%@@ p.m.,8:00 p.m.
sched_dep_time,68,8#:00 p.m%.,8:00 p.m.
sched_dep_time,91,1:00 p.m@@.,1:00 p.m.
sched_dep_time,96,1:0$0 p.m??.,1:00 p.m.
sched_dep_time,118,7:15# @@a.m.,7:15 a.m.
sched_dep_time,120,7:15 a??%.m.,7:15 a.m.
sched_dep_time,125,7:15 a.?@@?m.,7:15 a.m.
sched_dep_time,138,11:55 p$.m.,11:55 p.m.
sched_dep_time,147,11:55 p.m.#,11:55 p.m.
sched_dep_time,151,11:2$5 ??a.m.,11:25 a.m.
sched_dep_time,160,11:25 a.m.$,11:25 a.m.
sched_dep_time,169,11:25 a.%m.@@,11:25 a.m.
sched_dep_time,183,6:30 p.m.@@#,6:30 p.m.
sched_dep_time,191,6:30 p.%m.,6:30 p.m.
sched_dep_time,200,10:15 a??.m.,10:15 a.m.
sched_dep_time,202,10:%15 a.m.%,10:15 a.m.
sched_dep_time,206,10:1$5 a.m$.,10:15 a.m.
sched_dep_time,207,10:??15 $a.m.,10:15 a.m.
sched_dep_time,218,10:15 a.m.$,10:15 a.m.
sched_dep_time,219,10:15 ??a.m.,10:15 a.m.
sched_dep_time,222,10:15 a.m$.,10:15 a.m.
sched_dep_time,227,@@7:45 p.??m.,7:45 p.m.
sched_dep_time,249,7$:45 p.m.,7:45 p.m.
sched_dep_time,252,10:4#5 a.m.,10:45 a.m.
sched_dep_time,257,10:45%% a.m.,10:45 a.m.
sched_dep_time,258,10:45$ a.m$.,10:45 a.m.
sched_dep_time,262,10:45 a.m@@.,10:45 a.m.
