Attribute,Index,Dirty Value,Clean Value
src,3,alleg$ian%tair,allegiantair
src,12,flytecom??m,flytecomm
src,14,gofo#x,gofox
src,28,$flight??explorer,flightexplorer
src,31,@@flight$view,flightview
src,37,mia$,mia
src,53,flightawa$re@@,flightaware
src,75,a#??a,aa
src,86,flightvie@@w,flightview
src,91,hellofligh??t,helloflight
src,95,%quicktrip,quicktrip
src,99,wu??nde$rground,wunderground
src,104,business#travellogue,businesstravellogue
src,110,fl%igh$twise,flightwise
src,124,world-%flight-tracker,world-flight-tracker
src,126,#aa,aa
src,127,airtr??avelcenter,airtravelcenter
src,132,fl#ights,flights
src,135,flyloui%sville,flylouisville
src,138,%gofox,gofox
src,153,businesstravel??logue,businesstravellogue
src,162,%helloflight,helloflight
src,171,@@a@@a,aa
src,173,all#eg$iantair,allegiantair
src,184,flyte@@comm,flytecomm
src,186,gof??o??x,gofox
src,207,%fli@@ghts,flights
src,221,usato#@@day,usatoday
src,239,hello$flight,helloflight
src,241,myrat#eplan,myrateplan
src,245,pany$%nj,panynj
src,250,world-fli%ght-tr@@acker,world-flight-tracker
src,253,ai$rtravelcen#ter,airtravelcenter
src,277,%flig%hts,flights
src,296,aa@@,aa
src,298,a??llegi@@antair,allegiantair
src,312,myrate#plan,myrateplan
src,313,my$tripandmore,mytripandmore
src,316,q@@uicktrip@@,quicktrip
src,322,airtrav$elcenter,airtravelcenter
src,326,f??lightarri??val,flightarrival
src,364,he@@lloflight,helloflight
src,365,myrate#plan,myrateplan
src,369,travelocity#,travelocity
src,370,w##eather,weather
src,376,boston$??,boston
src,384,flylouis$ville,flylouisville
src,392,p@@anynj,panynj
src,412,fl$ylouisvi$lle,flylouisville
src,422,trav@@elocity,travelocity
src,434,%flightst%ats,flightstats
src,457,fligh$tarrival#,flightarrival
src,459,flighte$xplorer,flightexplorer
src,461,fl$ightstats,flightstats
src,474,we$ather,weather
src,489,f??lyt$ecomm,flytecomm
src,491,gof@@ox,gofox
src,503,airtr@@ave$lcenter,airtravelcenter
src,514,fl??yte$comm,flytecomm
src,518,i#f#ly,ifly
src,523,trave%@@locity,travelocity
src,528,ai@@rtra#velcenter,airtravelcenter
src,532,flightarr@@ival%,flightarrival
src,534,flig@@hts,flights
src,550,wundergrou%n@@d,wunderground
src,563,fl%yteco@@mm,flytecomm
src,571,p??#anynj,panynj
src,573,trave$locity,travelocity
src,577,wunder$ground,wunderground
src,579,airtravelcente??r,airtravelcenter
src,586,%flightstats,flightstats
src,588,flylo%uisville,flylouisville
src,607,@@boston,boston
src,658,wundergrou$nd,wunderground
src,660,airtra#%velcenter,airtravelcenter
src,661,allegiantai$$r,allegiantair
src,670,fl??ightwise,flightwise
src,672,flyte$comm,flytecomm
src,695,flig@@htstats,flightstats
src,708,traveloci@@t??y,travelocity
src,719,flight%#s,flights
src,740,airt@@rav%elcenter,airtravelcenter
src,742,#bos%ton,boston
src,761,travelo??city,travelocity
src,763,we??at%her,weather
src,773,fligh??ts,flights
src,782,myrat%eplan,myrateplan
src,790,world-flight-tracke?$?r,world-flight-tracker
src,791,wundergrou%nd,wunderground
src,799,flight%aw@@are,flightaware
src,834,mytr#ipandmore@@,mytripandmore
src,857,myratep%lan,myrateplan
src,861,pany%nj,panynj
src,886,trav@@elocit#y,travelocity
src,899,f$lightsta??ts,flightstats
src,900,fligh@@tview,flightview
src,907,mytripand#more,mytripandmore
src,918,a??llegiantair,allegiantair
src,943,wun%dergr$ound,wunderground
src,960,ifly$%,ifly
src,963,orbit#z,orbitz
src,967,travel#oc$ity,travelocity
src,972,airt#ravelcen@@ter,airtravelcenter
src,974,#boston,boston
src,982,@@flylouisville,flylouisville
src,1027,flightv@@iew,flightview
src,1029,flyteco$mm,flytecomm
src,1035,orb%itz,orbitz
src,1037,$phl#,phl
src,1042,wundergro@@und,wunderground
src,1093,wea#ther@@,weather
src,1096,??aa,aa
src,1100,businesstrave@@llogue,businesstravellogue
src,1101,flig%ht%aware,flightaware
src,1117,world-flight-t$racker,world-flight-tracker
src,1134,gof$#ox,gofox
src,1147,@@wunderg$round,wunderground
src,1166,mytripandm$ore%,mytripandmore
src,1167,o@@$rbitz,orbitz
src,1168,panyn%j??,panynj
src,1174,aa??,aa
src,1204,businesstra#vellogue,businesstravellogue
src,1211,foxbusine$ss,foxbusiness
src,1212,gofo$x,gofox
src,1229,flight#exp#lorer,flightexplorer
src,1251,airtravel@@center,airtravelcenter
src,1265,hello@@flight,helloflight
src,1269,qui$ck??trip,quicktrip
src,1277,airtravelc$e??nter,airtravelcenter
src,1278,al??legiantair%,allegiantair
src,1298,C??O??,CO
src,1312,myrateplan??,myrateplan
src,1318,CO??#,CO
src,1320,allegi$antair,allegiantair
src,1322,businesstravel%logue,businesstravellogue
src,1326,fligh$tv%iew,flightview
src,1329,foxbusines$s,foxbusiness
src,1336,p??anynj,panynj
src,1341,allegiantair%,allegiantair
src,1351,flyte@@@@comm,flytecomm
src,1373,flylo$uisville,flylouisville
src,1378,if??ly,ifly
src,1388,a$irtravelcent@@er,airtravelcenter
src,1403,o@@rbitz,orbitz
src,1411,bos$ton,boston
src,1422,helloflig$ht,helloflight
src,1438,fligh@@ts??tats,flightstats
src,1439,fligh??tview,flightview
src,1451,weather@@,weather
src,1457,@@flightarrival,flightarrival
src,1458,$flightexplo@@rer,flightexplorer
src,1464,fo??xbusiness,foxbusiness
src,1466,h%elloflight,helloflight
src,1473,weather$,weather
src,1499,wunderground??,wunderground
src,1500,%C??O,CO
src,1514,m#yrateplan,myrateplan
src,1518,trav#elocit$y,travelocity
src,1523,airt%ravelcenter,airtravelcenter
src,1525,bost@@o@@n,boston
src,1529,$flightstats,flightstats
src,1532,flylouisvi@@lle,flylouisville
src,1535,gof%o%x,gofox
src,1545,alle$giantair??,allegiantair
src,1569,businesstravello??g%ue,businesstravellogue
src,1577,g@@%ofox,gofox
src,1618,g??o#fox,gofox
src,1621,@@myrateplan,myrateplan
src,1624,quicktr#ip,quicktrip
src,1640,myratep#$lan,myrateplan
src,1644,qui$cktrip,quicktrip
src,1651,busine@@sstravel??logue,businesstravellogue
src,1654,flightst@@ats,flightstats
src,1659,foxbus%ines??s,foxbusiness
src,1683,orb$i@@tz,orbitz
src,1693,flig@@hts,flights
src,1699,hellof??ligh%t,helloflight
src,1705,airtravelce#nter,airtravelcenter
src,1709,flightarriv$al@@,flightarrival
src,1711,flig#htstat??s,flightstats
src,1738,f#oxbusiness,foxbusiness
src,1743,mytri??pa$ndmore,mytripandmore
src,1746,quickt%rip,quicktrip
src,1747,trave$loc$ity,travelocity
src,1748,u$a,ua
src,1753,airtr$avelcen@@ter,airtravelcenter
src,1763,foxbusines#s#,foxbusiness
src,1792,u??a#,ua
src,1797,b#u@@sinesstravellogue,businesstravellogue
src,1801,flights%,flights
src,1805,??fl??ytecomm,flytecomm
src,1810,mytripandmor%e,mytripandmore
src,1821,airtravelcen@@ter,airtravelcenter
src,1836,panyn@@j@@,panynj
src,1845,%businesstravel$logue,businesstravellogue
src,1858,t$ravelocity,travelocity
src,1872,foxbusine$s%s,foxbusiness
src,1881,ua$,ua
src,1884,wundergrou%nd,wunderground
src,1901,qui%cktrip,quicktrip
src,1912,flight#s,flights
src,1923,??panynj,panynj
src,1932,bo@@s#ton,boston
src,1954,airtr$??avelcenter,airtravelcenter
src,1957,businesst%rav@@ellogue,businesstravellogue
src,1976,we#ather,weather
src,1996,quicktr#ip,quicktrip
src,2011,flyl@@ouis@@ville,flylouisville
src,2043,usa??today,usatoday
src,2050,flig$ht??s,flights
src,2054,foxb$usine%ss,foxbusiness
src,2069,flightarri??val,flightarrival
src,2088,b@@oston,boston
src,2090,flightarri$val,flightarrival
src,2094,fligh%tsta$ts,flightstats
src,2100,hel@@lofligh$t,helloflight
src,2102,myra$teplan,myrateplan
src,2103,mytrip$andmore,mytripandmore
src,2104,orbit#z,orbitz
src,2114,flightarri$v$al,flightarrival
src,2116,fl%ightexplorer,flightexplorer
src,2130,pa??nyn#j,panynj
src,2142,flight%s@@,flights
src,2147,foxbusines%s,foxbusiness
src,2150,$myrateplan,myrateplan
src,2168,fly%louisvil@@le,flylouisville
src,2170,foxbus%iness,foxbusiness
src,2174,%@@orbitz,orbitz
src,2176,quick$trip,quicktrip
src,2179,??ua,ua
src,2180,u$satoday,usatoday
src,2218,u#a,ua
src,2243,boston$,boston
src,2245,f%light@@arrival,flightarrival
src,2257,ifl$y$,ifly
src,2262,$phl,phl
src,2265,%$ua,ua
src,2279,flightv#$iew,flightview
src,2282,fo#xbus#iness,foxbusiness
src,2283,g??ofox,gofox
src,2286,mytripandmore@@,mytripandmore
src,2315,airtrave$lcenter,airtravelcenter
src,2324,flyte#comm,flytecomm
src,2328,myra??teplan??,myrateplan
src,2336,airtravelcenter$,airtravelcenter
src,2346,g#of$ox,gofox
src,2364,??f%lylouisville,flylouisville
src,2366,foxbusi%ness,foxbusiness
src,2369,ifl??@@y,ifly
flight,16,AA-1007-#MIA-PHX,AA-1007-MIA-PHX
flight,22,AA-1165-J%FK-MIA,AA-1165-JFK-MIA
flight,62,AA-1221-MCO-ORD%,AA-1221-MCO-ORD
flight,73,AA-1221-MCO-O??#RD,AA-1221-MCO-ORD
flight,78,AA-1279-DF#W-PHX,AA-1279-DFW-PHX
flight,84,AA-1279-??DFW-PHX,AA-1279-DFW-PHX
flight,88,AA$-1279-DFW-P#HX,AA-1279-DFW-PHX
flight,105,AA$-1434-D$FW-MCO,AA-1434-DFW-MCO
flight,126,AA-1522-S??FO-ORD,AA-1522-SFO-ORD
flight,135,AA-15??22-SFO-ORD,AA-1522-SFO-ORD
flight,138,AA-1#522-SFO-ORD,AA-1522-SFO-ORD
flight,139,AA-@@1522-SFO-ORD,AA-1522-SFO-ORD
flight,144,AA-1522-%SFO-ORD,AA-1522-SFO-ORD
flight,148,AA-1522-SFO-ORD??,AA-1522-SFO-ORD
flight,154,AA-1544-SAN-#ORD@@,AA-1544-SAN-ORD
flight,155,A@@A-1544-SAN-ORD,AA-1544-SAN-ORD
flight,172,??AA-1640-MIA-MCO,AA-1640-MIA-MCO
flight,174,AA??-1640-MIA-MCO,AA-1640-MIA-MCO
flight,187,AA-1640-M%IA-MCO,AA-1640-MIA-MCO
flight,198,AA-1#640-MIA-MCO,AA-1640-MIA-MCO
flight,207,AA-$1664-MIA-ATL,AA-1664-MIA-ATL
flight,225,AA-1733-OR$D-PHX,AA-1733-ORD-PHX
flight,232,AA-1733-$ORD-PHX,AA-1733-ORD-PHX
flight,245,AA-1733-O%RD-PHX,AA-1733-ORD-PHX
flight,247,$#AA-1733-ORD-PHX,AA-1733-ORD-PHX
flight,262,AA-1886-B#OS-#MIA,AA-1886-BOS-MIA
flight,285,AA-1917-JFK-M??CO,AA-1917-JFK-MCO
flight,291,AA-1917-%JFK-MCO,AA-1917-JFK-MCO
flight,299,AA@@-204-LAX-MCO,AA-204-LAX-MCO
flight,309,AA-204-%LAX-MCO$,AA-204-LAX-MCO
flight,311,AA-2@@04-LAX-MCO@@,AA-204-LAX-MCO
flight,315,A??A-204-LAX-MCO,AA-204-LAX-MCO
flight,318,#AA-204-#LAX-MCO,AA-204-LAX-MCO
flight,342,@@AA-2050-ORD-MIA,AA-2050-ORD-MIA
flight,349,AA-222-LAX@@-BOS,AA-222-LAX-BOS
flight,351,AA#-222-LAX%-BOS,AA-222-LAX-BOS
flight,353,A??A-222-LAX-BOS,AA-222-LAX-BOS
flight,359,AA-222??-LAX-#BOS,AA-222-LAX-BOS
