Attribute,Index,Dirty Value,Cleaned Value
HospitalName,12,empty,helen keller memorial hospital
HospitalName,13,hel$%en keller memorial hospital,helen keller memorial hospital
HospitalName,25,southeast alabama medical cen#ter,southeast alabama medical center
HospitalName,34,#southeast alabama medical center,southeast alabama medical center
HospitalName,35,southeast alabama medi??cal center,southeast alabama medical center
HospitalName,76,eliza @@coffee me@@morial hospital,eliza coffee memorial hospital
HospitalName,77,empty,eliza coffee memorial hospital
HospitalName,78,eliza coffee memorial h@@ospit%al,eliza coffee memorial hospital
HospitalName,81,eliza co??ffee memorial hospital,eliza coffee memorial hospital
HospitalName,83,eliza coffee memorial ho$spital,eliza coffee memorial hospital
HospitalName,94,eliza coffee?? memorial hospital,eliza coffee memorial hospital
HospitalName,96,empty,mizell memorial hospital
HospitalName,97,mizell @@memorial ??hospital,mizell memorial hospital
HospitalName,101,mizel#l memorial hospital,mizell memorial hospital
HospitalName,122,crenshaw community hospital%,crenshaw community hospital
HospitalName,124,crenshaw community hospi@@#tal,crenshaw community hospital
HospitalName,127,crensh$aw community h??ospital,crenshaw community hospital
HospitalName,131,empty,crenshaw community hospital
HospitalName,133,crenshaw community %hos$pital,crenshaw community hospital
HospitalName,140,empty,crenshaw community hospital
HospitalName,142,empty,crenshaw community hospital
HospitalName,164,hartselle medical$ cente??r,hartselle medical center
HospitalName,167,hartsel#le med%ical center,hartselle medical center
HospitalName,168,empty,hartselle medical center
HospitalName,179,marshall% medical center north,marshall medical center north
HospitalName,182,marshal$l medical center north,marshall medical center north
HospitalName,185,marshall medical $cent??er north,marshall medical center north
HospitalName,190,empty,marshall medical center north
HospitalName,197,empty,st vincents east
HospitalName,203,empty,st vincents east
HospitalName,212,st vincents@@% east,st vincents east
HospitalName,214,st vincents east%,st vincents east
HospitalName,221,dekalb regional medical center#,dekalb regional medical center
HospitalName,228,empty,dekalb regional medical center
HospitalName,241,empty,dekalb regional medical center
HospitalName,253,southw$est# alabama medical center,southwest alabama medical center
HospitalName,263,%southwest alabama medical center,southwest alabama medical center
HospitalName,272,shelby bapti%st medical ce$nter,shelby baptist medical center
HospitalName,280,shelby bapt#ist m#edical center,shelby baptist medical center
HospitalName,282,$shelby baptist medica??l center,shelby baptist medical center
HospitalName,284,shelby baptist medical cent%er,shelby baptist medical center
HospitalName,285,empty,shelby baptist medical center
HospitalName,290,shelby ba#p$tist medical center,shelby baptist medical center
HospitalName,322,stringfellow memori%al hospital,stringfellow memorial hospital
HospitalName,341,flowers hos%p??ital,flowers hospital
HospitalName,342,empty,flowers hospital
HospitalName,344,empty,flowers hospital
HospitalName,355,northwe??st medical c$enter,northwest medical center
HospitalName,361,northwest# medical center,northwest medical center
HospitalName,372,empty,northwest medical center
HospitalName,375,empty,northwest medical center
HospitalName,389,univ of south al??abama medical center,univ of south alabama medical center
HospitalName,390,univ of south% ala@@bama medical center,univ of south alabama medical center
HospitalName,396,prattville baptist hospit@@al,prattville baptist hospital
HospitalName,399,prattville% baptist hospital,prattville baptist hospital
HospitalName,404,prattvi@@lle baptist hospital,prattville baptist hospital
HospitalName,405,empty,prattville baptist hospital
HospitalName,410,prattvi#lle baptis#t hospital,prattville baptist hospital
HospitalName,412,pr#attville baptist ho$spital,prattville baptist hospital
HospitalName,413,russellville hospital,russellville $hospital
HospitalName,426,empty,coosa valley medical center
HospitalName,432,co%osa valley medical ??center,coosa valley medical center
HospitalName,437,alaska regi??onal hospital,alaska regional hospital
HospitalName,440,alaska r@@egional hos??pital,alaska regional hospital
HospitalName,443,alaska regional hospita@#@l,alaska regional hospital
HospitalName,445,empty,alaska regional hospital
HospitalName,447,alaska region@@al@@ hospital,alaska regional hospital
HospitalName,455,hel@@en keller memorial hospital,helen keller memorial hospital
HospitalName,456,h#elen kelle@@r memorial hospital,helen keller memorial hospital
HospitalName,467,empty,dale medical center
HospitalName,469,dale medical ce??nter,dale medical center
HospitalName,471,#d$ale medical center,dale medical center
HospitalName,477,dale medical cente@@r,dale medical center
HospitalName,483,empty,dale medical center
HospitalName,491,da??le medical center,dale medical center
HospitalName,503,c#herokee medical cent$er,cherokee medical center
HospitalName,506,cherokee medic#al center,cherokee medical center
HospitalName,511,cherokee $medical c#enter,cherokee medical center
HospitalName,516,cherokee m%edical@@ center,cherokee medical center
HospitalName,520,baptist medical #cent??er south,baptist medical center south
HospitalName,544,jackson hospital &@@ clinic inc,jackson hospital & clinic inc
HospitalName,546,jackson $hospital & cli$nic inc,jackson hospital & clinic inc
HospitalName,561,jackson ho#spital & clinic in$c,jackson hospital & clinic inc
HospitalName,563,jackson hosp@@ita%l & clinic inc,jackson hospital & clinic inc
HospitalName,567,empty,g h lanier memorial hospital
HospitalName,569,empty,g h lanier memorial hospital
HospitalName,573,g h lanier memorial@@ hospital,g h lanier memorial hospital
HospitalName,579,g h# lanier memoria$l hospital,g h lanier memorial hospital
HospitalName,581,g h lanier mem??orial hospital,g h lanier memorial hospital
HospitalName,593,empty,elba general hospital
HospitalName,595,elb#a g$eneral hospital,elba general hospital
HospitalName,597,elba g%ener??al hospital,elba general hospital
HospitalName,602,elba general hospit??%al,elba general hospital
HospitalName,603,elba general hospit$al??,elba general hospital
HospitalName,605,elba general hos??pital,elba general hospital
HospitalName,612,elb$a general ho$spital,elba general hospital
HospitalName,613,elba #general hospital,elba general hospital
HospitalName,615,elba gene??ral hospital,elba general hospital
HospitalName,616,elba% general hos%pital,elba general hospital
HospitalName,628,empty,east alabama medical center and snf
HospitalName,638,empty,east alabama medical center and snf
HospitalName,639,ea$st alabama medical center and snf,east alabama medical center and snf
HospitalName,642,w$e??dowee hospital,wedowee hospital
HospitalName,646,w??edowee hospital,wedowee hospital
HospitalName,656,wedowee ho??spita#l,wedowee hospital
HospitalName,666,w@@e%dowee hospital,wedowee hospital
HospitalName,673,empty,university of alabama hospital
HospitalName,677,university of al%abama hospital,university of alabama hospital
HospitalName,678,empty,university of alabama hospital
HospitalName,688,university $of alabama hospital,university of alabama hospital
HospitalName,691,$university of al%abama hospital,university of alabama hospital
HospitalName,694,communi#ty hospital inc,community hospital inc
HospitalName,700,communi%ty hospital %inc,community hospital inc
HospitalName,706,communi$t$y hospital inc,community hospital inc
HospitalName,709,c#ommunity hospital inc,community hospital inc
HospitalName,712,c#ommuni$ty hospital inc,community hospital inc
HospitalName,719,empty,cullman regional medical center
HospitalName,724,cullman regional medi@@cal center,cullman regional medical center
HospitalName,731,empty,cullman regional medical center
HospitalName,734,cullman re%gional m@@edical center,cullman regional medical center
HospitalName,735,cullman reg??$ional medical center,cullman regional medical center
HospitalName,738,cullman regio#nal medical center,cullman regional medical center
HospitalName,741,cullman regi%onal m@@edical center,cullman regional medical center
HospitalName,763,empty,andalusia regional hospital
HospitalName,771,empty,stringfellow memorial hospital
HospitalName,774,strin#gfellow memorial hospital,stringfellow memorial hospital
HospitalName,790,huntsville ho@@spital,huntsville hospital
HospitalName,791,empty,huntsville hospital
HospitalName,798,empty,huntsville hospital
HospitalName,805,empty,gadsden regional medical center
HospitalName,811,gads@@den regiona$l medical center,gadsden regional medical center
HospitalName,818,gadsden regi??onal me$dical center,gadsden regional medical center
HospitalName,819,gadsden regi$o%nal medical center,gadsden regional medical center
HospitalName,857,empty,marion regional medical center
HospitalName,863,mari??on regiona#l medical center,marion regional medical center
HospitalName,864,marion %r#egional medical center,marion regional medical center
HospitalName,867,marion regional medi#cal center,marion regional medical center
HospitalName,871,marion regional medi#cal center,marion regional medical center
HospitalName,888,??fayette medical center,fayette medical center
HospitalName,890,fayette medical cen??ter,fayette medical center
HospitalName,892,fayette medic%al center,fayette medical center
HospitalName,895,empty,fayette medical center
HospitalName,898,fayette medic@??@al center,fayette medical center
HospitalName,901,empty,fayette medical center
HospitalName,909,riverview regional medical cen@@ter,riverview regional medical center
HospitalName,941,georgiana hospi$tal,georgiana hospital
HospitalName,945,georgiana%# hospital,georgiana hospital
HospitalName,954,empty,georgiana hospital
HospitalName,955,georgiana h#ospital,georgiana hospital
HospitalName,981,st vincents b#loun??t,st vincents blount
HospitalName,982,st vincents blo%unt,st vincents blount
HospitalName,985,empty,st vincents blount
HospitalName,990,empty,st vincents blount
HospitalName,993,st vince@@nts blount%,st vincents blount
HospitalName,999,empty,st vincents blount
Address1,6,empty,1720 university blvd
Address1,7,1720 #unive$rsity blvd,1720 university blvd
Address1,15,1300 south montgomery ??aven$ue,1300 south montgomery avenue
Address1,18,empty,1300 south montgomery avenue
Address1,23,1108 ros#s# clark circle,1108 ross clark circle
Address1,25,empty,1108 ross clark circle
Address1,30,1108 ross clark ci@@rc%le,1108 ross clark circle
Address1,46,2505 u s highwa#y 431 north,2505 u s highway 431 north
Address1,48,250@@5 $u s highway 431 north,2505 u s highway 431 north
Address1,49,2505 u s $highway 4%31 north,2505 u s highway 431 north
Address1,52,2505 u s highway 431% north,2505 u s highway 431 north
Address1,56,2505 u s hi@@ghway #431 north,2505 u s highway 431 north
Address1,60,empty,2505 u s highway 431 north
Address1,65,$2505 u s highway 431 north,2505 u s highway 431 north
