Attribute,Index,Dirty Value,Clean Value
ProviderNumber,4,44917.88790967108,10018
ProviderNumber,9,empty,10019
ProviderNumber,15,54401.48673729874,10019
ProviderNumber,16,54966.67156501859,10019
ProviderNumber,19,30380.35936315441,10019
ProviderNumber,26,33615.156605540324,10001
ProviderNumber,27,empty,10001
ProviderNumber,29,empty,10001
ProviderNumber,31,33417.77378319089,10001
ProviderNumber,32,37315.499354939195,10001
ProviderNumber,38,35848.60614010962,10001
ProviderNumber,42,empty,10001
ProviderNumber,44,empty,10001
ProviderNumber,47,43400.474760585355,10005
ProviderNumber,51,empty,10005
ProviderNumber,54,47012.250693254944,10005
ProviderNumber,62,40688.3190683477,10005
ProviderNumber,69,32908.314348525375,10005
ProviderNumber,70,55007.29933520663,10006
ProviderNumber,73,50224.57295952745,10006
ProviderNumber,79,empty,10006
ProviderNumber,84,51561.09683403892,10006
ProviderNumber,85,52484.623847700095,10006
ProviderNumber,87,53945.31182044379,10006
ProviderNumber,98,50928.02023053092,10007
ProviderNumber,112,33573.22667644868,10007
ProviderNumber,121,50986.256212032866,10008
ProviderNumber,125,30906.308399577694,10008
ProviderNumber,143,38798.165267051954,10008
ProviderNumber,146,55264.19898899908,10009
ProviderNumber,148,42076.15022144131,10009
ProviderNumber,151,37009.97036471225,10009
ProviderNumber,152,empty,10009
ProviderNumber,155,37232.25985678096,10009
ProviderNumber,169,33708.3920378057,10009
ProviderNumber,172,empty,10010
ProviderNumber,174,36804.99980802751,10010
ProviderNumber,180,48152.078396205165,10010
ProviderNumber,188,41593.3167869854,10010
ProviderNumber,195,empty,10011
ProviderNumber,208,44518.37029763188,10011
ProviderNumber,225,41011.59039573727,10012
ProviderNumber,237,44654.713728904026,10012
ProviderNumber,238,56280.86614566593,10012
ProviderNumber,245,40429.01796875601,10015
ProviderNumber,255,59678.92346858944,10015
ProviderNumber,261,38073.19015026768,10015
ProviderNumber,262,empty,10015
ProviderNumber,273,31220.91042257116,10016
ProviderNumber,274,39395.23251201197,10016
ProviderNumber,287,58489.73345307168,10016
ProviderNumber,288,36836.63574534998,10016
ProviderNumber,289,44037.91339150364,10016
ProviderNumber,293,42032.52287002573,10016
ProviderNumber,296,55184.49844510241,10018
ProviderNumber,297,34873.59197564229,10018
ProviderNumber,299,36541.53526855078,10018
ProviderNumber,301,39883.33290574003,10018
ProviderNumber,306,empty,10018
ProviderNumber,307,54443.06227331391,10018
ProviderNumber,315,30941.878570339595,10038
ProviderNumber,319,56083.301481451555,10038
ProviderNumber,321,empty,10038
ProviderNumber,326,empty,10038
ProviderNumber,327,34739.0552663743,10038
ProviderNumber,351,38627.08397133818,10056
ProviderNumber,353,45012.40535725715,10056
ProviderNumber,354,51729.23957884994,10085
ProviderNumber,356,32720.976197406017,10086
ProviderNumber,357,empty,10086
ProviderNumber,360,50917.19382504079,10086
ProviderNumber,363,54081.75214157478,10086
ProviderNumber,364,47391.1799837347,10086
ProviderNumber,370,46054.32945562206,10086
ProviderNumber,371,49628.06468192625,10086
ProviderNumber,382,36445.0664566285,10087
ProviderNumber,383,58998.34008611848,10087
ProviderNumber,385,36311.12442023529,10087
ProviderNumber,394,31105.16884774914,10108
ProviderNumber,397,47019.98915079648,10108
ProviderNumber,398,empty,10108
ProviderNumber,403,36919.55947162096,10108
ProviderNumber,408,48044.657050959366,10108
ProviderNumber,415,empty,10164
ProviderNumber,417,empty,10164
ProviderNumber,419,54581.66196501718,10164
ProviderNumber,423,49038.151841176565,10164
ProviderNumber,425,empty,10164
ProviderNumber,434,112171.41511691718,20017
ProviderNumber,441,91861.96364304016,20017
ProviderNumber,442,95607.60581319034,20017
ProviderNumber,444,73926.07014575423,20017
ProviderNumber,448,100217.600644876,20017
ProviderNumber,450,67298.14675762043,20017
ProviderNumber,452,empty,20018
ProviderNumber,464,empty,10019
ProviderNumber,465,49747.28166192933,10019
ProviderNumber,470,34036.8034720366,10021
ProviderNumber,472,52075.29338216148,10021
ProviderNumber,474,59696.0667300857,10021
ProviderNumber,478,empty,10021
ProviderNumber,479,empty,10021
ProviderNumber,484,42906.975996351575,10021
ProviderNumber,485,empty,10021
ProviderNumber,494,57613.69150933502,10022
ProviderNumber,504,47167.57288814289,10022
ProviderNumber,509,30235.572011312684,10022
ProviderNumber,513,45454.586484528016,10022
ProviderNumber,522,empty,10023
ProviderNumber,525,36947.81648859958,10023
ProviderNumber,527,55102.17448984669,10023
ProviderNumber,531,38607.31071938495,10023
ProviderNumber,537,empty,10023
ProviderNumber,549,58744.11685841106,10024
ProviderNumber,550,50823.172287625675,10024
ProviderNumber,551,52240.07012961071,10024
ProviderNumber,552,49583.80703340168,10024
ProviderNumber,557,55943.07468332181,10024
ProviderNumber,558,46461.84547954653,10024
ProviderNumber,560,empty,10024
ProviderNumber,570,empty,10025
ProviderNumber,572,empty,10025
ProviderNumber,578,45995.92681143014,10025
ProviderNumber,580,55138.14769117708,10025
ProviderNumber,584,empty,10025
ProviderNumber,589,58746.685731405254,10025
ProviderNumber,598,empty,10027
ProviderNumber,600,52940.44171075257,10027
ProviderNumber,607,47288.27336430592,10027
ProviderNumber,618,55571.99695791473,10029
ProviderNumber,623,empty,10029
ProviderNumber,624,50210.63366793861,10029
ProviderNumber,631,47289.30088840678,10029
ProviderNumber,632,32517.632608676955,10029
ProviderNumber,635,36244.555041838496,10029
ProviderNumber,647,50924.317474284915,10032
ProviderNumber,648,32754.802446660276,10032
ProviderNumber,649,48595.072657272256,10032
ProviderNumber,650,51338.97822909236,10032
ProviderNumber,654,44500.62775871078,10032
ProviderNumber,658,33994.347779972086,10032
ProviderNumber,659,41641.51165806081,10032
ProviderNumber,660,52272.944599981085,10032
ProviderNumber,667,58979.30910508129,10033
ProviderNumber,669,empty,10033
ProviderNumber,672,empty,10033
ProviderNumber,679,empty,10033
ProviderNumber,680,46998.47173095557,10033
ProviderNumber,682,38417.93780301097,10033
ProviderNumber,684,54676.25281162927,10033
ProviderNumber,687,43555.023522180105,10033
ProviderNumber,696,31712.032811940135,10034
ProviderNumber,714,53702.886076052775,10034
ProviderNumber,718,39181.09674731753,10035
ProviderNumber,720,empty,10035
ProviderNumber,732,31772.90992868762,10035
ProviderNumber,736,46271.395077283865,10035
ProviderNumber,737,empty,10035
ProviderNumber,739,48986.76820261035,10035
ProviderNumber,742,43029.764394052785,10036
ProviderNumber,748,44317.12017895533,10036
ProviderNumber,759,40304.22034727265,10036
ProviderNumber,760,44111.633035832965,10036
ProviderNumber,768,empty,10038
ProviderNumber,770,45582.79322958234,10038
ProviderNumber,787,empty,10039
ProviderNumber,793,38243.43296580421,10039
ProviderNumber,796,empty,10039
ProviderNumber,802,57411.8443103332,10039
ProviderNumber,806,50919.69971774667,10040
ProviderNumber,814,44281.68810535412,10040
ProviderNumber,820,56950.97227293912,10040
ProviderNumber,823,47751.04380599712,10040
ProviderNumber,831,empty,10043
ProviderNumber,835,34381.99488726934,10043
ProviderNumber,838,60017.8862473097,10043
ProviderNumber,843,42069.72957348759,10043
ProviderNumber,844,45990.99245652652,10043
ProviderNumber,849,30669.116855788983,10043
ProviderNumber,851,50607.05217618522,10043
ProviderNumber,852,32167.571412340007,10043
ProviderNumber,870,49352.68575777473,10044
ProviderNumber,876,31318.29015001528,10044
ProviderNumber,881,empty,10045
ProviderNumber,882,31927.622068768826,10045
ProviderNumber,883,37111.40287508052,10045
ProviderNumber,893,57556.72073888244,10045
ProviderNumber,894,54408.776076371054,10045
ProviderNumber,899,54440.413671341215,10045
ProviderNumber,920,53314.22358635323,10046
ProviderNumber,922,empty,10046
ProviderNumber,924,53769.616457193224,10046
ProviderNumber,928,58918.090022983895,10046
ProviderNumber,929,59917.70845291277,10046
ProviderNumber,932,57165.854572961856,10047
ProviderNumber,943,44383.26552491435,10047
ProviderNumber,953,43750.819975821934,10047
ProviderNumber,957,43426.25586170946,10049
ProviderNumber,962,36990.09000918825,10049
ProviderNumber,966,45303.91504860435,10049
ProviderNumber,968,55916.62969195393,10049
ProviderNumber,972,34899.66948415247,10049
ProviderNumber,975,empty,10049
ProviderNumber,977,46449.853970885015,10049
ProviderNumber,978,32438.30694633955,10049
ProviderNumber,980,empty,10049
ProviderNumber,986,empty,10050
ProviderNumber,987,empty,10050
ProviderNumber,989,37092.67483371649,10050
ProviderNumber,998,50967.50283277008,10050
HospitalName,19,helen keller memori??al hospital,helen keller memorial hospital
HospitalName,29,empty,southeast alabama medical center
HospitalName,32,sout%heast alabama medi@@cal center,southeast alabama medical center
HospitalName,54,marshall medical# center south,marshall medical center south
HospitalName,79,empty,eliza coffee memorial hospital
HospitalName,148,hartse@@lle medical center,hartselle medical center
HospitalName,188,mar%shall medical center north,marshall medical center north
HospitalName,245,empty,southwest alabama medical center
HospitalName,262,sou@@th@@west alabama medical center,southwest alabama medical center
HospitalName,297,empty,callahan eye foundation hospital
HospitalName,327,stringfellow memorial% hospital,stringfellow memorial hospital
HospitalName,353,s@@t vi??ncents hospital,st vincents hospital
HospitalName,356,empty,northwest medical center
HospitalName,382,empty,univ of south alabama medical center
HospitalName,383,univ of south alab$ama medical center,univ of south alabama medical center
HospitalName,414,russellville $hospital,russellville hospital
HospitalName,419,coosa vall#e@@y medical center,coosa valley medical center
HospitalName,425,coosa valley m@@edical center,coosa valley medical center
HospitalName,452,yukon kuskokwim delta reg h??ospital,yukon kuskokwim delta reg hospital
HospitalName,464,helen keller@@ memorial h@@ospital,helen keller memorial hospital
HospitalName,478,empty,dale medical center
HospitalName,504,cherokee m#edical center,cherokee medical center
HospitalName,550,j%ackson hospital & clinic inc,jackson hospital & clinic inc
HospitalName,551,ja%cks??on hospital & clinic inc,jackson hospital & clinic inc
HospitalName,552,jackson ho%spital & #clinic inc,jackson hospital & clinic inc
HospitalName,558,jac%k@@son hospital & clinic inc,jackson hospital & clinic inc
HospitalName,578,g h% lanier memorial hospital,g h lanier memorial hospital
HospitalName,650,w$edowee h%ospital,wedowee hospital
HospitalName,654,empty,wedowee hospital
HospitalName,658,wedowee hospita#l,wedowee hospital
HospitalName,672,empty,university of alabama hospital
HospitalName,679,university of?? a@@labama hospital,university of alabama hospital
HospitalName,714,empty,community hospital inc
HospitalName,796,huntsville ho%spital,huntsville hospital
HospitalName,820,empty,gadsden regional medical center
HospitalName,851,empty,chilton medical center
HospitalName,881,empty,fayette medical center
HospitalName,920,riverview re??gional medical center,riverview regional medical center
HospitalName,922,ri$vervie@@w regional medical center,riverview regional medical center
HospitalName,928,riverview regional medical ce@@nter,riverview regional medical center
HospitalName,972,me#d%ical center enterprise,medical center enterprise
HospitalName,986,s%t vincents blount,st vincents blount
Address1,245,33700?? hi??ghway 43,33700 highway 43
Address1,297,1720 uni@@versity blvd,1720 university blvd
Address1,354,1201 7th @@%street se,1201 7th street se
Address1,382,2451 filli@@ngim street,2451 fillingim street
Address1,552,17$25 pine street,1725 pine street
Address1,796,101 siv#ley rd,101 sivley rd
Address1,922,600 south third stre??et,600 south third street
Address2,23,em%pt??y,empty
Address2,24,#empty,empty
Address2,33,empt@@@@y,empty
Address2,45,??empty,empty
Address2,49,em#pty,empty
Address2,51,empty%,empty
Address2,52,emp$t@@y,empty
Address2,59,e$mpty,empty
Address2,61,em$pty,empty
Address2,62,em$pty??,empty
Address2,72,e#mp$ty,empty
Address2,75,em%pty,empty
Address2,85,%empt??y,empty
Address2,88,empty??,empty
Address2,91,e%mpty$,empty
Address2,92,e@@#mpty,empty
Address2,97,e#m#pty,empty
Address2,104,em%p??ty,empty
Address2,120,emp$t#y,empty
Address2,125,e#mpty,empty
Address2,127,emp%ty,empty
Address2,129,e%mpty,empty
Address2,145,empt@@y,empty
Address2,156,empty??,empty
Address2,158,e%mpty,empty
Address2,159,%empty%,empty
Address2,177,@??@empty,empty
Address2,209,em$pty,empty
Address2,222,em%#pty,empty
Address2,224,@@emp$ty,empty
Address2,229,empty%,empty
Address2,252,e$mpty,empty
Address2,256,empt?#?y,empty
Address2,258,em@@p%ty,empty
Address2,262,emp@@t$y,empty
Address2,263,%empt#y,empty
Address2,283,em%pty,empty
Address2,294,e%mpt@@y,empty
