Attribute,Index,Dirty Value,Cleaned Value,Clean Value
ZipCode,414,empty,173592.48818205242,35653
PhoneNumber,414,2563321611,12229765952.187096,2563321611
HospitalType,548,acute care hospitals,a$cute care h@@ospitals,acute care hospitals
MeasureName,277,heart failure patients given discharge instructions,heart fail$ure patients given dischar#ge instructions,heart failure patients given discharge instructions
Stateavg,146,empty,al_ami-$@@2,al_ami-2
Stateavg,433,ak_hf-1,al_hf-1,ak_hf-1
Stateavg,434,ak_hf-2,al_hf-2,ak_hf-2
Stateavg,436,ak_hf-4,al_hf-4,ak_hf-4
Stateavg,437,ak_pn-2,al_pn-2,ak_pn-2
Stateavg,438,ak_pn-3b,al_pn-3b,ak_pn-3b
Stateavg,439,ak_p?#?n-4,al_pn-4,ak_pn-4
Stateavg,440,ak_pn-5c,al_pn-5c,ak_pn-5c
Stateavg,441,ak_pn-6,al_pn-6,ak_pn-6
Stateavg,442,ak_pn-7,al_pn-7,ak_pn-7
Stateavg,443,ak_scip-card-2,al_scip-card-2,ak_scip-card-2
Stateavg,444,ak_scip-inf-1,al_scip-inf-1,ak_scip-inf-1
Stateavg,445,ak_??scip-in#f-2,al_scip-inf-2,ak_scip-inf-2
Stateavg,447,ak_scip-inf-4,al_scip-inf-4,ak_scip-inf-4
Stateavg,450,ak_scip-vte-2,al_scip-vte-2,ak_scip-vte-2
Stateavg,451,empty,al_ami-1,ak_ami-1
Stateavg,452,ak_ami-2,al_ami-2,ak_ami-2
