Attribute,Index,Clean Value,Cleaned Value
ProviderNumber,11,10019,empty
ProviderNumber,16,10019,49640.5652493254
ProviderNumber,18,10019,empty
ProviderNumber,29,10001,empty
ProviderNumber,35,10001,empty
ProviderNumber,40,10001,empty
ProviderNumber,44,10001,empty
ProviderNumber,54,10005,32147.8631723714
ProviderNumber,69,10005,37482.342525119435
ProviderNumber,73,10006,empty
ProviderNumber,79,10006,49238.78546740248
ProviderNumber,86,10006,55116.29080003362
ProviderNumber,93,10006,empty
ProviderNumber,95,10007,49565.00504135711
ProviderNumber,100,10007,50867.82493918278
ProviderNumber,109,10007,41871.61325263277
ProviderNumber,112,10007,58947.34485411866
ProviderNumber,113,10007,empty
ProviderNumber,119,10007,empty
ProviderNumber,122,10008,empty
ProviderNumber,124,10008,empty
ProviderNumber,136,10008,empty
ProviderNumber,137,10008,41612.7715339924
ProviderNumber,146,10009,empty
ProviderNumber,151,10009,52061.19080468537
ProviderNumber,158,10009,empty
ProviderNumber,173,10010,empty
ProviderNumber,177,10010,empty
ProviderNumber,187,10010,42155.29758660888
ProviderNumber,213,10011,59560.636049165616
ProviderNumber,215,10011,empty
ProviderNumber,222,10012,empty
ProviderNumber,224,10012,58784.06163725298
ProviderNumber,240,10012,empty
ProviderNumber,244,10012,58924.64744088347
ProviderNumber,256,10015,31529.387031466635
ProviderNumber,258,10015,empty
ProviderNumber,267,10015,47215.10745278659
ProviderNumber,272,10016,empty
ProviderNumber,273,10016,empty
ProviderNumber,280,10016,44281.18681832129
ProviderNumber,287,10016,empty
ProviderNumber,309,10018,47489.28920110171
ProviderNumber,315,10038,46248.365130020065
ProviderNumber,326,10038,46144.936242907934
ProviderNumber,328,10038,empty
ProviderNumber,330,10038,empty
ProviderNumber,332,10055,31835.71492821262
ProviderNumber,336,10055,31082.10012785184
ProviderNumber,359,10086,empty
ProviderNumber,369,10086,empty
ProviderNumber,370,10086,empty
ProviderNumber,375,10086,empty
ProviderNumber,387,10087,empty
ProviderNumber,390,10087,empty
ProviderNumber,392,10087,empty
ProviderNumber,421,10164,47884.00597037382
ProviderNumber,426,10164,57440.78866360366
ProviderNumber,446,20017,empty
ProviderNumber,450,20017,75491.47403073646
ProviderNumber,455,10019,55634.95179579208
ProviderNumber,457,10019,empty
ProviderNumber,467,10021,empty
ProviderNumber,484,10021,49050.091992114416
ProviderNumber,497,10022,54002.626828852255
ProviderNumber,500,10022,empty
ProviderNumber,502,10022,47921.13747273658
ProviderNumber,512,10022,empty
ProviderNumber,513,10022,empty
ProviderNumber,531,10023,45078.19422473977
ProviderNumber,552,10024,50906.03977302857
ProviderNumber,553,10024,32719.256104450193
ProviderNumber,573,10025,43818.02743969156
ProviderNumber,589,10025,empty
ProviderNumber,592,10027,38522.59046912528
ProviderNumber,602,10027,empty
ProviderNumber,617,10029,empty
ProviderNumber,635,10029,36569.91188803941
ProviderNumber,636,10029,empty
ProviderNumber,639,10029,empty
ProviderNumber,649,10032,empty
ProviderNumber,670,10033,empty
ProviderNumber,681,10033,43690.90294287216
ProviderNumber,683,10033,51944.59369192468
ProviderNumber,693,10034,39870.470205784855
ProviderNumber,697,10034,empty
ProviderNumber,705,10034,42917.808553940165
ProviderNumber,709,10034,31308.834964891117
ProviderNumber,724,10035,empty
ProviderNumber,725,10035,30951.263261998487
ProviderNumber,729,10035,52644.86076532507
ProviderNumber,731,10035,42767.341599143605
ProviderNumber,734,10035,30115.873204337415
ProviderNumber,736,10035,empty
ProviderNumber,737,10035,57262.7083722881
ProviderNumber,742,10036,46185.82472695336
ProviderNumber,764,10036,empty
ProviderNumber,765,10036,41763.96381562617
ProviderNumber,773,10038,empty
ProviderNumber,775,10039,44178.809316961466
ProviderNumber,781,10039,empty
ProviderNumber,794,10039,38865.54684843654
ProviderNumber,801,10039,empty
ProviderNumber,811,10040,41110.588965088595
ProviderNumber,817,10040,44370.621524237584
ProviderNumber,822,10040,51618.300228368
ProviderNumber,830,10043,empty
ProviderNumber,832,10043,44355.511808973635
ProviderNumber,837,10043,40590.612717939475
ProviderNumber,859,10044,45811.39763895282
ProviderNumber,867,10044,empty
ProviderNumber,872,10044,53229.54211346217
ProviderNumber,873,10044,empty
ProviderNumber,903,10046,50522.07646972674
ProviderNumber,913,10046,34964.2543712627
ProviderNumber,921,10046,56911.41574965704
ProviderNumber,925,10046,empty
ProviderNumber,926,10046,empty
ProviderNumber,942,10047,empty
ProviderNumber,984,10050,empty
ProviderNumber,992,10050,42297.558282557344
ProviderNumber,994,10050,empty
HospitalName,69,marshall medical center south,empty
HospitalName,173,marshall medical center north,marshall medical center n@@orth
HospitalName,273,shelby baptist medical center,she#lby baptist@@ medical center
HospitalName,421,coosa valley medical center,empty
HospitalName,450,alaska regional hospital,empty
HospitalName,670,university of alabama hospital,empty
Address1,69,2505 u s highway 431 north,empty
Address2,2,empty,em??pty
Address2,33,empty,em@@p%ty
Address2,39,empty,emp?@@?ty
Address2,133,empty,empt#y??
Address2,161,empty,e%mpty
Address2,166,empty,emp??#ty
Address2,179,empty,em$pty#
Address2,191,empty,e%mpt$y
Address2,199,empty,em%pty
Address2,203,empty,em@$@pty
Address2,262,empty,empty@@??
Address2,270,empty,empty??
Address2,311,empty,e#mpty
Address2,318,empty,empt@@y
Address2,334,empty,?$?empty
Address2,371,empty,empty@@$
Address2,378,empty,e@@mpty
Address2,384,empty,#empty@@
Address2,404,empty,em@@??pty
Address2,415,empty,e%mpt%y
Address2,434,empty,empt@@y
Address2,460,empty,??empty
Address2,466,empty,e$mp#ty
Address2,507,empty,e@@mp$ty
Address2,516,empty,empt@@y
Address2,528,empty,empty??
Address2,547,empty,empt#y
Address2,557,empty,em%pty
Address2,577,empty,empt$y
Address2,608,empty,#e%mpty
Address2,621,empty,emp%ty
Address2,625,empty,e??%mpty
