Attribute,Index,Clean Value,Cleaned Value
id,4,169865,903246.489164657
id,10,340222,1930434.5699183403
id,15,53321,nan
id,18,282987,1066658.8696898175
id,25,6207,nan
id,29,793918,4644945.582279795
id,31,880881,nan
id,34,379737,2176577.2288867873
id,37,968125,nan
id,39,732534,nan
id,40,473026,nan
id,41,372175,1120787.12656898
id,42,110072,628387.11367444
id,47,433667,nan
id,50,864817,3748752.198650506
id,57,616298,nan
id,59,548616,nan
id,66,237623,1319259.9643620816
id,68,318931,1419595.7962562202
id,82,519732,nan
id,84,408062,1622727.8413335038
id,86,894596,4160675.2708381177
id,91,346326,nan
id,92,612846,nan
id,93,282053,nan
id,94,870257,nan
id,97,931323,3970500.107376598
id,100,420138,nan
id,117,585766,2447507.9007427623
id,119,886237,nan
id,120,954493,nan
id,124,863844,nan
id,127,259367,1249254.000248416
id,128,977276,4365156.766020531
id,130,772616,nan
id,131,334681,nan
id,133,465176,nan
id,134,368072,nan
id,136,380945,nan
id,138,862798,nan
id,140,38413,nan
id,141,595469,nan
id,150,62306,311867.6109804459
id,151,182986,1085124.0775075487
id,154,754594,nan
id,159,704093,3473361.9591968716
id,161,203935,1205344.7560044737
id,168,631610,3394186.4358906248
id,172,709359,3953161.408493991
id,173,690938,4012561.7833393286
id,189,717315,nan
id,191,928952,nan
id,195,501663,2131068.867347482
id,197,143029,nan
id,203,979292,nan
id,208,464335,nan
id,210,979059,3723666.6248516506
id,218,288711,nan
id,220,833251,nan
id,224,787529,nan
id,226,441393,nan
id,227,481882,nan
id,229,581864,nan
id,237,326944,1946800.982091454
id,245,674696,nan
id,256,386327,nan
id,260,855912,4997466.200735128
id,261,710727,nan
id,271,836847,nan
id,275,470385,nan
id,277,113399,nan
id,278,685178,nan
id,281,56272,nan
id,283,680306,nan
id,284,53877,201827.72276390187
id,285,504928,1762818.998237416
id,298,188890,nan
id,308,351534,1751014.420863463
id,309,872389,nan
id,312,320139,1319010.4793895665
id,316,90272,472370.52429441095
id,320,385940,nan
id,321,951168,nan
id,325,178078,944617.3213479348
id,329,338547,nan
