Attribute,Index,Dirty Value,Clean Value
id,4,903246.489164657,169865
id,10,1930434.5699183403,340222
id,15,nan,53321
id,18,1066658.8696898175,282987
id,25,nan,6207
id,29,4644945.582279795,793918
id,31,nan,880881
id,34,2176577.2288867873,379737
id,37,nan,968125
id,39,nan,732534
id,40,nan,473026
id,41,1120787.12656898,372175
id,42,628387.11367444,110072
id,47,nan,433667
id,50,3748752.198650506,864817
id,57,nan,616298
id,59,nan,548616
id,66,1319259.9643620816,237623
id,68,1419595.7962562202,318931
id,82,nan,519732
id,84,1622727.8413335038,408062
id,86,4160675.2708381177,894596
id,91,nan,346326
id,92,nan,612846
id,93,nan,282053
id,94,nan,870257
id,97,3970500.107376598,931323
id,100,nan,420138
id,117,2447507.9007427623,585766
id,119,nan,886237
id,120,nan,954493
id,124,nan,863844
id,127,1249254.000248416,259367
id,128,4365156.766020531,977276
id,130,nan,772616
id,131,nan,334681
id,133,nan,465176
id,134,nan,368072
id,136,nan,380945
id,138,nan,862798
id,140,nan,38413
id,141,nan,595469
id,150,311867.6109804459,62306
id,151,1085124.0775075487,182986
id,154,nan,754594
id,159,3473361.9591968716,704093
id,161,1205344.7560044737,203935
id,168,3394186.4358906248,631610
id,172,3953161.408493991,709359
id,173,4012561.7833393286,690938
id,189,nan,717315
id,191,nan,928952
id,195,2131068.867347482,501663
id,197,nan,143029
id,203,nan,979292
id,208,nan,464335
id,210,3723666.6248516506,979059
id,218,nan,288711
id,220,nan,833251
id,224,nan,787529
id,226,nan,441393
id,227,nan,481882
id,229,nan,581864
id,237,1946800.982091454,326944
id,245,nan,674696
id,256,nan,386327
id,260,4997466.200735128,855912
id,261,nan,710727
id,271,nan,836847
id,275,nan,470385
id,277,nan,113399
id,278,nan,685178
id,281,nan,56272
id,283,nan,680306
id,284,201827.72276390187,53877
id,285,1762818.998237416,504928
id,298,nan,188890
id,308,1751014.420863463,351534
id,309,nan,872389
id,312,1319010.4793895665,320139
id,316,472370.52429441095,90272
id,320,nan,385940
id,321,nan,951168
id,325,944617.3213479348,178078
id,329,nan,338547
id,334,159819.44530554136,49847
id,338,nan,6862
id,339,nan,853676
id,340,2966818.8358275937,556116
id,342,nan,540850
id,346,nan,950233
id,348,nan,633877
id,351,nan,720775
id,358,3696173.8743334394,798716
id,362,nan,235924
id,363,1680688.2572692095,291020
id,371,4601089.693975952,885384
id,376,4621353.438960382,793410
id,377,nan,816944
id,379,nan,752280
id,385,3629024.136260077,615903
id,389,2165627.843541643,448010
id,391,nan,624354
id,394,nan,605643
id,395,nan,5782
id,397,nan,343395
id,398,nan,826830
id,413,nan,891722
id,415,nan,450749
id,421,nan,838034
id,425,1485512.6454925884,260769
id,428,nan,369162
id,432,nan,53319
id,438,nan,858569
id,443,nan,111970
id,460,nan,811354
id,466,nan,873987
id,473,nan,498344
id,475,4712630.890900264,917417
id,478,nan,516758
id,481,2768011.121706791,888553
id,486,nan,378289
id,490,nan,697880
id,499,988179.563469472,260745
id,500,nan,941515
id,511,3483394.199798953,915463
id,514,nan,213794
id,516,nan,89897
id,518,646566.2524733471,144339
id,521,495613.3160292648,130308
id,528,nan,556803
id,532,376569.02091587166,105981
id,536,49079.2214765685,13408
id,543,nan,866131
id,544,nan,751811
id,547,1526125.9237679315,491837
id,551,1789283.140762107,476191
id,553,nan,467318
id,556,nan,102180
id,566,nan,677752
id,567,356660.7451448715,107417
id,568,nan,141282
id,573,nan,283168
id,576,nan,373015
id,577,nan,529562
id,585,1441070.9898697394,435904
id,587,nan,918698
id,599,3251987.8417009367,709094
id,600,nan,327157
id,613,2813416.626693148,584706
id,615,nan,145770
id,616,nan,24026
id,617,209083.08775750783,44484
id,619,1175107.4548609038,333862
id,622,nan,646572
id,625,730663.7988723713,231933
id,627,2575462.100836906,854628
id,628,nan,117678
id,629,nan,795170
id,630,nan,783722
id,631,nan,376103
id,640,nan,163093
id,642,5427918.130370681,949775
id,644,2254221.989680073,638338
id,647,nan,690793
id,658,nan,129552
id,662,nan,706764
id,663,1674783.4232230918,388872
id,666,nan,558824
id,679,nan,316114
id,681,1741045.2745602312,577842
id,694,215803.38648461865,45797
id,695,nan,605277
id,696,2326595.141337232,749261
id,697,nan,752305
id,702,3147063.0726190247,556090
id,703,nan,770589
id,707,nan,560120
id,713,481592.8740428471,84941
id,714,2602676.179271156,558766
id,715,nan,428909
id,716,nan,110453
id,719,nan,820059
id,722,4164704.718755009,888477
id,731,nan,257990
id,734,nan,480030
id,736,1987916.5538764144,355078
id,737,nan,696985
id,745,3824387.473406869,758629
id,747,nan,265490
id,748,nan,463556
id,750,nan,300057
id,751,nan,166521
id,755,nan,276001
id,758,nan,433039
id,759,3735323.6624756735,737167
id,764,nan,259267
id,769,nan,18298
id,774,nan,663339
id,777,1356451.2089441093,307302
id,778,nan,217418
id,779,nan,413717
id,782,nan,649817
id,786,nan,887418
id,789,nan,422739
id,794,nan,740811
id,796,nan,658981
id,797,nan,215650
id,807,458531.26938522473,80799
id,824,281277.27096793154,91852
id,826,nan,382853
id,828,1437719.1907084095,407082
id,835,nan,637323
id,839,nan,294719
id,847,1399425.5414970329,250975
id,852,nan,264151
id,856,nan,364080
id,859,1518176.9545111328,272721
