Attribute,Index,Dirty Value,Cleaned Value,Clean Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,227,Endocrinology,End%ocri$nology,Endocrinology
journal_title,244,Physiotherapy,P??hysiotherapy,Physiotherapy
journal_title,348,$Colorec??tal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colo$rectal disease : the official journal of the Association of Coloproctology of Great Bri@@tain and Ireland,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland
journal_title,925,European Journal Of Anaesthesiology,European Journal Of Anaes$thes??iology,European Journal Of Anaesthesiology
journal_issn,35,1532-8511,1532-8%511,1532-8511
journal_issn,218,1462-8910,1463-1318,1462-8910
journal_issn,398,15#26-7598,1526-$7598,1526-7598
journal_issn,619,0737-1209,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep,1524-4539
journal_issn,654,0039-2499,1524-4628,0039-2499
journal_issn,822,nan,1930-7381,1930-739X
journal_issn,855,nan,0025-7931,1423-0356
journal_issn,894,1399-3003,0903-1936,1399-3003
journal_issn,915,1099-1611,1057-9249,1099-1611
