ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,Late repair of injuries of the anal sphincter,eng,nan,Proceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,64,12,1/1/71,nan,{A. G. ParksJ. F. McPartlin}
2,2542471.186656745,nan,ENG,nan,J. Infect. Dis.,1537-6613,-1,-1,2/15/04,nan,
3,789958,Duane ??retraction syndrome associated with oculocutaneous alb$inism: an ocular miswiring.,eng,nan,Indian J Ophthalmol,0301-4738,,,1/6/12,283-4,
4,169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,nan,nan,84,0,nan,nan,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653,Diagnosis and Management of Cutaneous B-cell Lymphom??a.,nan,Dermatologic clinics,Dermatol Clin,1558-0520,33,4,1/15/10,835-40,{Lauren C Pinter-Brown}
6,98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,nan,nan,nan,10,4,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730,nan,eng,Br Med Bull,British medical bulletin,0007-1420,29,2,1/1/73,163-7,{B N PrichardJ W Black}
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,nan,nan,164,1,nan,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,396821,Awareness of deficits and on-road driving performance,English,Clinical Neuro#psychologist,nan,1385-4046,,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,The British journal of radiology,nan,nan,79,,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
11,184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Transportation Research Part D-Transport and Environment,nan,1361-9209,14,5,1/9/01,317-#@@325,{J. L. LiP. Newcomb}
12,729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,8,6,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
