Attribute,Index,Dirty Value,Cleaned Value
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,29,PL#oS One,PLoS One
journal_title,105,Cancer chemotherapy and pharmacology,Cancer chemotherapy and phar@@macology
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,619,nan,Public health nursing (Boston Mass.)
journal_title,858,Circu#lation,Circulation
journal_title,894,The# European re$spiratory journal,The European respiratory journal
journal_title,954,nan,International journal of obesity (2005)
journal_title,993,nan,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_issn,27,15#55-@@2101,1555-2101
journal_issn,205,1??460-2385,1460-2385
journal_issn,320,1467@@-1107%,1467-1107
journal_issn,378,nan,1932-6203
journal_issn,473,1095-9203,1095-9203%
journal_issn,493,nan,1433-7347
journal_issn,643,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep
journal_issn,654,0039-2499,1524-4628
journal_issn,801,nan,1460-2105
journal_issn,822,1930-739X,1930-7381
journal_issn,855,1423-0356,0025-7931
journal_issn,894,1399-3003,0903-1936
journal_issn,910,nan,1097-0142
journal_issn,925,nan,1365-2346
