alpha,task_name,cleaning_method,median_H,mean_H,n_rows
0.25,beers,GroundTruth,0.48245244955691785,0.5119999260947157,90
0.25,beers,Unified,0.515983427012404,0.5370359588124255,90
0.25,beers,baran,0.5355521492547404,0.5538971376915318,90
0.25,beers,bigdansing,0.5162389143882067,0.5317957131178811,90
0.25,beers,boostclean,0.5030232650772117,0.5241445185690027,90
0.25,beers,holoclean,0.5049738585740964,0.5323460536552839,78
0.25,beers,horizon,0.5116326518980541,0.5393856497352663,90
0.25,beers,mode,0.5697540815498174,0.5879460693399642,78
0.25,beers,scared,0.512413096262286,0.5359661944747769,89
0.25,flights,GroundTruth,0.5914875254681511,0.6031519951981659,90
0.25,flights,Unified,0.5479456118615516,0.5526242466960979,90
0.25,flights,baran,0.5638490790932487,0.5674455657143529,90
0.25,flights,bigdansing,0.5514809369319065,0.5477878075561868,90
0.25,flights,boostclean,0.5136196025934745,0.5152740645841032,90
0.25,flights,holoclean,0.5764625821803552,0.5719940977906705,84
0.25,flights,horizon,0.6055169699752997,0.6177315584536582,90
0.25,flights,mode,0.619427770351967,0.6340039968405696,90
0.25,flights,scared,0.5155438446210263,0.519421820787039,89
0.25,hospital,GroundTruth,0.5339213230913666,0.5516832640236411,90
0.25,hospital,Unified,0.412529112432315,0.44916195247386925,82
0.25,hospital,baran,0.49542974244060006,0.5214610239608928,90
0.25,hospital,bigdansing,0.43242818563251273,0.45456576340346455,88
0.25,hospital,boostclean,0.4098993122455563,0.44215320258188034,79
0.25,hospital,holoclean,0.4145214085120165,0.4545775416945318,54
0.25,hospital,horizon,0.47185952853566143,0.48632894180616887,90
0.25,hospital,mode,0.39615893627159626,0.43441608542094085,90
0.25,hospital,scared,0.41739620252403925,0.45146553741991785,79
0.25,rayyan,GroundTruth,0.7219540897857911,0.6785840619127309,90
0.25,rayyan,Unified,0.6717938475676365,0.6433517065123355,90
0.25,rayyan,baran,0.70606527532237,0.6507317127346501,90
0.25,rayyan,bigdansing,0.7294683066313055,0.6904880240335789,90
0.25,rayyan,holoclean,0.5980724268285893,0.6160439438365516,90
0.25,rayyan,horizon,0.7092336375888484,0.6750744777643714,89
0.25,rayyan,mode,0.5660795153402659,0.5989734932144933,90
0.25,rayyan,scared,0.6689197216831986,0.6558334861643493,89
0.47,beers,GroundTruth,0.5190781987322781,0.5429083417888207,90
0.47,beers,Unified,0.5467462268271128,0.566623523431625,90
0.47,beers,baran,0.5649669252672863,0.5837016264957948,90
0.47,beers,bigdansing,0.547819134686141,0.5611814884869458,90
0.47,beers,boostclean,0.5349675613083618,0.553307968541306,90
0.47,beers,holoclean,0.5376881082216364,0.563270675362119,78
0.47,beers,horizon,0.5444405553908725,0.5693702805484037,90
0.47,beers,mode,0.6089197685194534,0.6226430199687207,78
0.47,beers,scared,0.5439040422069876,0.5656363232614813,89
0.47,flights,GroundTruth,0.6301544608397482,0.6367749586529089,90
0.47,flights,Unified,0.5795477738350501,0.5823439387563121,90
0.47,flights,baran,0.591953342362409,0.5984969276353316,90
0.47,flights,bigdansing,0.5891913179371662,0.5845051693568553,90
0.47,flights,boostclean,0.5455451593244658,0.545192245067073,90
0.47,flights,holoclean,0.6100178592734982,0.6049965146224309,84
0.47,flights,horizon,0.6345675725855632,0.6458763125331368,90
0.47,flights,mode,0.6617257111975143,0.6752252936437766,90
0.47,flights,scared,0.5504891305827511,0.5501812900760324,89
0.47,hospital,GroundTruth,0.5663410397561213,0.5818557145368185,90
0.47,hospital,Unified,0.4477183921933626,0.47575077872098925,82
0.47,hospital,baran,0.528613040279923,0.552123149445084,90
0.47,hospital,bigdansing,0.46514936324339523,0.4817770261789404,88
0.47,hospital,boostclean,0.44278901283956684,0.46951060431140523,79
0.47,hospital,holoclean,0.45161834820596647,0.48352526128295753,54
0.47,hospital,horizon,0.502965665327649,0.5145362332266592,90
0.47,hospital,mode,0.4319622019319905,0.46123114549937055,90
0.47,hospital,scared,0.4485167360003252,0.4774620698774145,79
0.47,rayyan,GroundTruth,0.7476340314867654,0.7111891987647632,90
0.47,rayyan,Unified,0.7014713818558036,0.6749691171106629,90
0.47,rayyan,baran,0.7294587535977342,0.6799598299811653,90
0.47,rayyan,bigdansing,0.7602753982678863,0.7224180555145915,90
0.47,rayyan,holoclean,0.6280509694492822,0.6472357193107311,90
0.47,rayyan,horizon,0.7354427517077766,0.703378632058651,89
0.47,rayyan,mode,0.6185241992884604,0.643606854218509,90
0.47,rayyan,scared,0.7013916809726432,0.6872975873982131,89
0.5,beers,GroundTruth,0.5239022853481461,0.5474899246670952,90
0.5,beers,Unified,0.5509919183078962,0.5710410663434085,90
0.5,beers,baran,0.5695951083324483,0.5881126467731161,90
0.5,beers,bigdansing,0.5526899674517542,0.5655738498561312,90
0.5,beers,boostclean,0.5397573700765868,0.5576606901641071,90
0.5,beers,holoclean,0.5430520099938347,0.5678627762792547,78
0.5,beers,horizon,0.5488696682142504,0.5738304350720533,90
0.5,beers,mode,0.6152922083837743,0.6278363168621358,78
0.5,beers,scared,0.5490059964355594,0.5700505694734954,89
0.5,flights,GroundTruth,0.6358177702009769,0.6416677521872008,90
