alpha,task_name,cluster_method,median_H,mean_H,n_rows
0.25,beers,DBSCAN,0.44299029328700235,0.4380067179426724,130
0.25,beers,GMM,0.5234532751080695,0.5195740066628913,131
0.25,beers,HC,0.7449703091703961,0.7390270217888942,131
0.25,beers,KMEANS,0.5194280668197923,0.523648327444189,131
0.25,beers,KMEANSNF,0.51393573308608,0.5134642035251844,131
0.25,beers,KMEANSPPS,0.4950147698210306,0.49807426448121633,131
0.25,flights,DBSCAN,0.4967990364474245,0.507856871666381,133
0.25,flights,GMM,0.5496218964496444,0.5649578857165987,134
0.25,flights,HC,0.6434420737994968,0.6568377185587295,134
0.25,flights,KMEANS,0.5793432283181774,0.5825621878904863,134
0.25,flights,KMEANSNF,0.556097271698036,0.5512091079540825,134
0.25,flights,KMEANSPPS,0.5552127278617303,0.5560212602287314,134
0.25,hospital,DBSCAN,0.35929867367643215,0.3563795915507971,105
0.25,hospital,GMM,0.4438893854090029,0.4558146033318307,128
0.25,hospital,HC,0.6655104998930704,0.6774668618834613,128
0.25,hospital,KMEANS,0.4440172222006266,0.44920823259743187,127
0.25,hospital,KMEANSNF,0.4511505528376335,0.44621377053723493,127
0.25,hospital,KMEANSPPS,0.4297386469640118,0.4348637346815992,127
0.25,rayyan,DBSCAN,0.43193763451383216,0.43429780764013626,118
0.25,rayyan,GMM,0.7103029375320503,0.6924675743996963,120
0.25,rayyan,HC,0.8083482461218822,0.8032033653951994,120
0.25,rayyan,KMEANS,0.70606527532237,0.6906144279776202,120
0.25,rayyan,KMEANSNF,0.6360688451385715,0.6334518901753847,120
0.25,rayyan,KMEANSPPS,0.6635737419355767,0.6489230111363552,120
0.47,beers,DBSCAN,0.4968961952508327,0.48818952787464176,130
0.47,beers,GMM,0.5540253214786772,0.5515764624641962,131
0.47,beers,HC,0.7470213549271119,0.7397755216015433,131
0.47,beers,KMEANS,0.5506287623113841,0.5557184027082888,131
0.47,beers,KMEANSNF,0.5459179802632337,0.5459909750892621,131
0.47,beers,KMEANSPPS,0.5304677514338562,0.5330199588904087,131
0.47,flights,DBSCAN,0.5370296856912452,0.5478960980540576,133
0.47,flights,GMM,0.5853989003133202,0.5998187195043474,134
0.47,flights,HC,0.6613830581976005,0.6742770888367474,134
0.47,flights,KMEANS,0.6156053868584885,0.6165310684344288,134
0.47,flights,KMEANSNF,0.5901919757357629,0.5859943773419906,134
