alpha,task_name,cleaning_method,cluster_method,median_H,mean_H,n_rows
0.25,beers,GroundTruth,DBSCAN,0.48245244955691785,0.48245244955691785,15
0.25,beers,GroundTruth,GMM,0.47684119438959904,0.47493714943454995,15
0.25,beers,GroundTruth,HC,0.6775178871744063,0.6769177424499444,15
0.25,beers,GroundTruth,KMEANS,0.4862444204618998,0.48596666901824664,15
0.25,beers,GroundTruth,KMEANSNF,0.4791788312798006,0.47871422213145753,15
0.25,beers,GroundTruth,KMEANSPPS,0.4746777760646162,0.47301132397717777,15
0.25,beers,Unified,DBSCAN,0.4358056924095179,0.416983949697596,15
0.25,beers,Unified,GMM,0.5205018007731981,0.5216680071166839,15
0.25,beers,Unified,HC,0.7289469017974097,0.7508843204409654,15
0.25,beers,Unified,KMEANS,0.5204225622207288,0.5213338678373187,15
0.25,beers,Unified,KMEANSNF,0.5068466347043856,0.5092197514463702,15
0.25,beers,Unified,KMEANSPPS,0.504124374170564,0.5021258563356185,15
0.25,beers,baran,DBSCAN,0.44293158890857504,0.44296302273290505,15
0.25,beers,baran,GMM,0.535857969949914,0.5363284945084802,15
0.25,beers,baran,HC,0.7639571670321503,0.7641204064133902,15
0.25,beers,baran,KMEANS,0.5427455442419863,0.5440148543436268,15
0.25,beers,baran,KMEANSNF,0.5228408981242093,0.5274034219550353,15
0.25,beers,baran,KMEANSPPS,0.5103673401199744,0.5085526261957535,15
0.25,beers,bigdansing,DBSCAN,0.4150207915999385,0.404902597089895,15
0.25,beers,bigdansing,GMM,0.508348580055277,0.511176000477781,15
0.25,beers,bigdansing,HC,0.7533185282433053,0.741423916475107,15
0.25,beers,bigdansing,KMEANS,0.5231024792207415,0.5235751874627282,15
0.25,beers,bigdansing,KMEANSNF,0.5226428093948065,0.5190939415129798,15
0.25,beers,bigdansing,KMEANSPPS,0.48690058397117203,0.490602635688796,15
0.25,beers,boostclean,DBSCAN,0.4049351909563237,0.4064808126677296,15
0.25,beers,boostclean,GMM,0.5127708627483166,0.5064432612808059,15
0.25,beers,boostclean,HC,0.7546855526607961,0.7363288540591689,15
0.25,beers,boostclean,KMEANS,0.5048907215812924,0.5048650300233425,15
0.25,beers,boostclean,KMEANSNF,0.5050251892735725,0.49947756615421846,15
0.25,beers,boostclean,KMEANSPPS,0.48350005393328555,0.4912715872287506,15
0.25,beers,holoclean,DBSCAN,0.4645034727713279,0.4593265491557274,13
0.25,beers,holoclean,GMM,0.5060655001061592,0.508851855346117,13
0.25,beers,holoclean,HC,0.7461307505271011,0.7338295640123909,13
0.25,beers,holoclean,KMEANS,0.5110873961238004,0.506542237606383,13
0.25,beers,holoclean,KMEANSNF,0.5038822170420334,0.4980857095242109,13
0.25,beers,holoclean,KMEANSPPS,0.48048206971132895,0.4874404062868742,13
0.25,beers,horizon,DBSCAN,0.4359145253432654,0.42895939349525103,15
0.25,beers,horizon,GMM,0.5209434675137062,0.5239137313626602,15
0.25,beers,horizon,HC,0.7477618665939101,0.7495124590314288,15
0.25,beers,horizon,KMEANS,0.51237466191329,0.5227849509418152,15
0.25,beers,horizon,KMEANSNF,0.5171795386669148,0.5155607461766395,15
0.25,beers,horizon,KMEANSPPS,0.49698737814320293,0.4955826174038029,15
0.25,beers,mode,DBSCAN,0.4775067881159227,0.4765554624696747,13
0.25,beers,mode,GMM,0.5808421505534773,0.5754688059790651,13
0.25,beers,mode,HC,0.7683141068209598,0.7699907925868192,13
0.25,beers,mode,KMEANS,0.5823064654812184,0.5925300561812855,13
0.25,beers,mode,KMEANSNF,0.5675487074496224,0.5617607387114831,13
0.25,beers,mode,KMEANSPPS,0.5629609240833057,0.5513705601114572,13
0.25,beers,scared,DBSCAN,0.4326102471819775,0.4309481287723407,14
0.25,beers,scared,GMM,0.5240411484997726,0.523401774193132,15
0.25,beers,scared,HC,0.7416031344084179,0.7316706490336895,15
0.25,beers,scared,KMEANS,0.5158503547100635,0.5181255121028593,15
0.25,beers,scared,KMEANSNF,0.5181756789247227,0.5162508062723078,15
0.25,beers,scared,KMEANSPPS,0.49697147770005123,0.48839909209416976,15
0.25,flights,GroundTruth,DBSCAN,0.5759310285102868,0.5759310285102868,15
0.25,flights,GroundTruth,GMM,0.5912301656786958,0.5723970903718519,15
0.25,flights,GroundTruth,HC,0.6617660316530248,0.6615124130141925,15
0.25,flights,GroundTruth,KMEANS,0.6408003268469844,0.6408003268469844,15
0.25,flights,GroundTruth,KMEANSNF,0.5733844557923728,0.5727176473284882,15
0.25,flights,GroundTruth,KMEANSPPS,0.5941218873330494,0.595553465117191,15
0.25,flights,Unified,DBSCAN,0.5271248620688509,0.5376182518243028,15
0.25,flights,Unified,GMM,0.5359613298509828,0.5351086027879697,15
0.25,flights,Unified,HC,0.6311270067952649,0.6237327107881022,15
0.25,flights,Unified,KMEANS,0.5562046580748587,0.5530593691789684,15
0.25,flights,Unified,KMEANSNF,0.5250409670541148,0.5287284210103012,15
0.25,flights,Unified,KMEANSPPS,0.5305563053814231,0.537498124586943,15
0.25,flights,baran,DBSCAN,0.5509330965299308,0.498213533586437,15
0.25,flights,baran,GMM,0.5779424146415884,0.560283127764093,15
0.25,flights,baran,HC,0.6807149460488501,0.677141735203021,15
0.25,flights,baran,KMEANS,0.5914727057845507,0.5694085870878867,15
0.25,flights,baran,KMEANSNF,0.5544948302170083,0.5536453380834448,15
0.25,flights,baran,KMEANSPPS,0.5413209469479715,0.545981072561235,15
0.25,flights,bigdansing,DBSCAN,0.4668014462142135,0.46735616379499173,15
0.25,flights,bigdansing,GMM,0.5284972912625875,0.5349098251862604,15
0.25,flights,bigdansing,HC,0.6041084287008408,0.6110789179249678,15
0.25,flights,bigdansing,KMEANS,0.5626113312752872,0.5653058072648515,15
0.25,flights,bigdansing,KMEANSNF,0.5583384161289778,0.5570703574209027,15
0.25,flights,bigdansing,KMEANSPPS,0.5468333327745153,0.5510057737451467,15
0.25,flights,boostclean,DBSCAN,0.4122138174753514,0.4380912089973522,15
0.25,flights,boostclean,GMM,0.5132596737102643,0.511122622130935,15
0.25,flights,boostclean,HC,0.6286548776902756,0.6086519523887549,15
0.25,flights,boostclean,KMEANS,0.5163136699662917,0.5202771995987764,15
0.25,flights,boostclean,KMEANSNF,0.5096752013038581,0.5088772834655121,15
0.25,flights,boostclean,KMEANSPPS,0.4995975189816776,0.5046241209232888,15
0.25,flights,holoclean,DBSCAN,0.4743391086509534,0.475345978975436,14
0.25,flights,holoclean,GMM,0.601502624596735,0.5932260691152129,14
