scope,task_name,alpha,base_alpha,common_item_count,spearman_with_base
cleaner_clusterer_combo,beers,0.25,0.47,54,0.9929864684581664
cleaner_clusterer_combo,beers,0.47,0.47,54,0.9999999999999999
cleaner_clusterer_combo,beers,0.5,0.47,54,0.9993901276920143
cleaner_clusterer_combo,beers,0.75,0.47,54,0.9012769201448446
cleaner_clusterer_combo,flights,0.25,0.47,54,0.9719458738326662
cleaner_clusterer_combo,flights,0.47,0.47,54,0.9999999999999999
cleaner_clusterer_combo,flights,0.5,0.47,54,0.9986277873070325
cleaner_clusterer_combo,flights,0.75,0.47,54,0.9448065561273108
cleaner_clusterer_combo,hospital,0.25,0.47,54,0.9974080426910614
cleaner_clusterer_combo,hospital,0.47,0.47,54,0.9999999999999999
cleaner_clusterer_combo,hospital,0.5,0.47,54,0.9995425957690107
cleaner_clusterer_combo,hospital,0.75,0.47,54,0.9874783207114698
cleaner_clusterer_combo,rayyan,0.25,0.47,48,0.9971774412419258
cleaner_clusterer_combo,rayyan,0.47,0.47,48,1.0
cleaner_clusterer_combo,rayyan,0.5,0.47,48,0.9995657601910656
cleaner_clusterer_combo,rayyan,0.75,0.47,48,0.9864300059707974
cleaner,beers,0.25,0.47,9,0.9833333333333333
cleaner,beers,0.47,0.47,9,1.0
cleaner,beers,0.5,0.47,9,0.9833333333333333
cleaner,beers,0.75,0.47,9,0.8833333333333333
cleaner,flights,0.25,0.47,9,1.0
cleaner,flights,0.47,0.47,9,1.0
cleaner,flights,0.5,0.47,9,1.0
cleaner,flights,0.75,0.47,9,0.9666666666666667
cleaner,hospital,0.25,0.47,9,0.9833333333333333
cleaner,hospital,0.47,0.47,9,1.0
cleaner,hospital,0.5,0.47,9,0.9833333333333333
cleaner,hospital,0.75,0.47,9,1.0
cleaner,rayyan,0.25,0.47,8,1.0
cleaner,rayyan,0.47,0.47,8,1.0
cleaner,rayyan,0.5,0.47,8,0.9761904761904763
cleaner,rayyan,0.75,0.47,8,0.9523809523809524
clusterer,beers,0.25,0.47,6,1.0
clusterer,beers,0.47,0.47,6,1.0
clusterer,beers,0.5,0.47,6,1.0
clusterer,beers,0.75,0.47,6,0.942857142857143
clusterer,flights,0.25,0.47,6,0.942857142857143
clusterer,flights,0.47,0.47,6,1.0
clusterer,flights,0.5,0.47,6,1.0
clusterer,flights,0.75,0.47,6,0.942857142857143
clusterer,hospital,0.25,0.47,6,0.942857142857143
clusterer,hospital,0.47,0.47,6,1.0
clusterer,hospital,0.5,0.47,6,1.0
clusterer,hospital,0.75,0.47,6,0.942857142857143
clusterer,rayyan,0.25,0.47,6,0.9856107606091623
clusterer,rayyan,0.47,0.47,6,1.0
clusterer,rayyan,0.5,0.47,6,1.0
clusterer,rayyan,0.75,0.47,6,1.0
