task_name,alpha,base_alpha,base_top_cleaner,base_top_clusterer,top_cleaner,top_clusterer,same_as_base_top,top_median_H,base_top_median_H
beers,0.25,0.47,mode,HC,mode,HC,True,0.7683141068209598,0.7613056935661399
beers,0.47,0.47,mode,HC,mode,HC,True,0.7613056935661399,0.7613056935661399
beers,0.5,0.47,mode,HC,mode,HC,True,0.7616142577236238,0.7613056935661399
beers,0.75,0.47,mode,HC,mode,HC,True,0.7641953858585209,0.7613056935661399
flights,0.25,0.47,mode,HC,mode,HC,True,0.7651970210691017,0.8053032593385023
flights,0.47,0.47,mode,HC,mode,HC,True,0.8053032593385023,0.8053032593385023
flights,0.5,0.47,mode,HC,mode,HC,True,0.8113071056292472,0.8053032593385023
flights,0.75,0.47,mode,HC,mode,HC,True,0.8609444123324982,0.8053032593385023
hospital,0.25,0.47,GroundTruth,HC,GroundTruth,HC,True,0.778035988314303,0.7847024679106176
hospital,0.47,0.47,GroundTruth,HC,GroundTruth,HC,True,0.7847024679106176,0.7847024679106176
hospital,0.5,0.47,GroundTruth,HC,GroundTruth,HC,True,0.7856203950103534,0.7847024679106176
hospital,0.75,0.47,GroundTruth,HC,baran,HC,False,0.7934077005774991,0.7847024679106176
rayyan,0.25,0.47,horizon,HC,horizon,HC,True,0.8466166448337161,0.8494300179792611
rayyan,0.47,0.47,horizon,HC,horizon,HC,True,0.8494300179792611,0.8494300179792611
rayyan,0.5,0.47,horizon,HC,horizon,HC,True,0.8493145301434697,0.8494300179792611
rayyan,0.75,0.47,horizon,HC,GroundTruth,HC,False,0.8523388823251145,0.8494300179792611
