dataset,requested_error_rate,cleaning_state,clusterer,seed_count,directions,all_seeds_same_direction,positive_rate,median_delta_H,iqr_delta_H,median_EDR
beers,0.1,mode_impute,HC,3,positive,True,1.0,0.04410260036872904,0.019011394598115794,-0.4610995850622407
beers,0.1,mode_impute,KMEANS,3,positive,True,1.0,0.04369739966089736,0.007452161236895183,-0.4610995850622407
beers,0.1,winsor_mode,HC,3,negative;positive,False,0.3333333333333333,-0.0023474072962179626,0.00852211601966979,-0.549792531120332
beers,0.1,winsor_mode,KMEANS,3,negative,True,0.0,-0.02824047351499792,0.027735127430608186,-0.549792531120332
beers,0.2,mode_impute,HC,3,negative,True,0.0,-0.015290972404555903,0.031747434925736784,-0.17764522821576764
beers,0.2,mode_impute,KMEANS,3,positive,True,1.0,0.0249280793535146,0.014681322214677328,-0.17764522821576764
beers,0.2,winsor_mode,HC,3,negative,True,0.0,-0.09533087139101848,0.0012885059985254244,-0.191649377593361
beers,0.2,winsor_mode,KMEANS,3,negative,True,0.0,-0.04689670352968295,0.0187234089195632,-0.191649377593361
beers,0.3,mode_impute,HC,3,negative,True,0.0,-0.007217525868853714,0.00334594652555964,-0.08160442600276625
beers,0.3,mode_impute,KMEANS,3,negative;positive,False,0.6666666666666666,0.009096475641631963,0.0056875738518040175,-0.08160442600276625
beers,0.3,winsor_mode,HC,3,negative,True,0.0,-0.07540842924835417,0.003641656078666178,-0.08592669432918396
beers,0.3,winsor_mode,KMEANS,3,negative,True,0.0,-0.05056988771851029,0.020017027575663843,-0.08592669432918396
hospital,0.1,mode_impute,HC,3,positive,True,1.0,0.019752712102822978,0.01247776165937206,0.12166666666666667
hospital,0.1,mode_impute,KMEANS,3,negative;positive,False,0.3333333333333333,-0.0037035440502601324,0.03098663074129715,0.12166666666666667
hospital,0.1,winsor_mode,HC,3,negative;positive,False,0.6666666666666666,0.04695474917157377,0.04714663510600464,0.10277777777777777
hospital,0.1,winsor_mode,KMEANS,3,negative;positive,False,0.3333333333333333,-0.004152970543456924,0.01556328526547987,0.10277777777777777
hospital,0.2,mode_impute,HC,3,positive,True,1.0,0.027433763892717677,0.013227106723810084,0.12083333333333333
hospital,0.2,mode_impute,KMEANS,3,positive,True,1.0,0.014294806571747642,0.016491601130152717,0.12083333333333333
hospital,0.2,winsor_mode,HC,3,positive,True,1.0,0.032418131750709955,0.009570146443990346,0.11138888888888888
hospital,0.2,winsor_mode,KMEANS,3,positive,True,1.0,0.013220916400124405,0.006869205863015648,0.11138888888888888
hospital,0.3,mode_impute,HC,3,negative;positive,False,0.3333333333333333,-0.010332199298441924,0.03026167939600466,0.11407407407407408
hospital,0.3,mode_impute,KMEANS,3,negative;positive,False,0.6666666666666666,0.017242729600605633,0.014917849576753045,0.11407407407407408
hospital,0.3,winsor_mode,HC,3,negative,True,0.0,-0.026891312221458075,0.022204777530788034,0.10888888888888888
hospital,0.3,winsor_mode,KMEANS,3,positive,True,1.0,0.01698029640585247,0.005001679164332168,0.10888888888888888
