dataset,variant,seed,requested_error_rate,realized_error_rate,changed_cell_count,cleaning_state,clusterer,dirty_H_alpha,H_alpha,delta_H_vs_dirty,direction,valid_cluster_score,silhouette,davies_bouldin,n_rows_used,n_clusters,dirty_path,repaired_path,TP,FP,FN,EDR,precision,recall,F1
beers,original,42,0.1,0.1,1928,dirty,KMEANS,0.5227028187619837,0.5227028187619837,0.0,zero,True,0.25315678730198976,1.1943911636020137,2202,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10_dirty.csv,0,0,1928,0.0,,0.0,
beers,original,42,0.1,0.1,1928,dirty,HC,0.5237648987353479,0.5237648987353479,0.0,zero,True,0.2333517423122245,1.1643448652822097,2202,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10_dirty.csv,0,0,1928,0.0,,0.0,
beers,original,42,0.1,0.1,1928,mode_impute,KMEANS,0.5227028187619837,0.5781590746476615,0.05545625588567782,positive,True,0.3539996971617204,0.9535629043823155,2224,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10_mode_impute.csv,82,971,1846,-0.4610995850622407,0.0778727445394112,0.04253112033195021,0.05501509560550151
beers,original,42,0.1,0.1,1928,mode_impute,HC,0.5237648987353479,0.567867499104077,0.04410260036872904,positive,True,0.312680974938872,0.9714762948802094,2224,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10_mode_impute.csv,82,971,1846,-0.4610995850622407,0.0778727445394112,0.04253112033195021,0.05501509560550151
beers,original,42,0.1,0.1,1928,winsor_mode,KMEANS,0.5227028187619837,0.5201502478350946,-0.0025525709268890973,negative,True,0.29289622906572094,1.2556067746753232,2224,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10_winsor_mode.csv,175,1235,1753,-0.549792531120332,0.12411347517730496,0.09076763485477178,0.1048532055122828
beers,original,42,0.1,0.1,1928,winsor_mode,HC,0.5237648987353479,0.5082553195557304,-0.015509579179617483,negative,True,0.2776779591608287,1.324161173583256,2224,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err10_winsor_mode.csv,175,1235,1753,-0.549792531120332,0.12411347517730496,0.09076763485477178,0.1048532055122828
beers,original,42,0.2,0.2,3856,dirty,KMEANS,0.5229490925409773,0.5229490925409773,0.0,zero,True,0.2511470910506254,1.1904178831508871,2028,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20_dirty.csv,0,0,3856,0.0,,0.0,
beers,original,42,0.2,0.2,3856,dirty,HC,0.6059726689954544,0.6059726689954544,0.0,zero,True,0.406160153441226,0.85236280890754,2028,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20_dirty.csv,0,0,3856,0.0,,0.0,
beers,original,42,0.2,0.2,3856,mode_impute,KMEANS,0.5229490925409773,0.5553430386073483,0.03239394606637103,positive,True,0.34670962903434166,1.0805495933314493,2056,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20_mode_impute.csv,185,870,3671,-0.17764522821576764,0.17535545023696683,0.04797717842323652,0.07534107106495622
beers,original,42,0.2,0.2,3856,mode_impute,HC,0.6059726689954544,0.603078680950337,-0.002893988045117424,negative,True,0.4082416764750325,0.8691686201890203,2056,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20_mode_impute.csv,185,870,3671,-0.17764522821576764,0.17535545023696683,0.04797717842323652,0.07534107106495622
beers,original,42,0.2,0.2,3856,winsor_mode,KMEANS,0.5229490925409773,0.5034449349943843,-0.01950415754659307,negative,True,0.2789054228998997,1.3609641910836046,2056,5,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20.csv,analysis\validity_sensitivity\generated_seed_data\beers\original\seed42_err20_winsor_mode.csv,373,1112,3483,-0.191649377593361,0.25117845117845117,0.09673236514522822,0.13967421831117768
