ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436.0,Pub Beer,,12.0,0.05,,,,Bend,OR
2,2265.0,Devil's Cup,American Pale Ale (APA),12.0,0.066,,177,,Gary,IN
3,2264.0,Ri@@se of the Phoenix,A%merican IPA,12.0,0.071,,177,,Gary,%#IN
4,,,American Double / Imperial IPA,12.0,0.09,,177,18th Street Brewery,Gary,IN
5,2262.0,,,12.0,0.075,,823.2972799347943,18th Street Brewery,Gary,IN
6,2261.0,Black E#xodus,Oatmeal St??#out,,0.077,,177,18th Street Brewery,Gary,IN
7,12775.593097352832,Lake Street Express,American Pale Ale (APA),40.08631274208297,0.2186238813351154,,177,18th Street Brewery,Gary,
8,2259.0,Foreman,American Porter,12.0,0.065,,620.655697360698,18th Street Brewery,Gary,IN
9,,Jade,American Pale Ale (APA),42.29364466167993,0.055,,177,18th Street Brewery,,IN
10,2131.0,Cone Crusher,American Double / Imperial IPA,12.0,0.086,,177,18th Street Bre??w$ery,Gary,IN
11,2099.0,Sophomoric Saison,Saiso@@n / Farmhouse Ale,12.0,0.072,,177,18th Street Brewery,Gary,IN
12,2098.0,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,,,,Gary,IN
13,2097.0,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,18th Street B#r@@ewery,Ga#ry,IN
14,,Tro@@ll Destroy@@er,Belgian IPA,12.0,0.085,,177,18th@@ Street Brewery,G??ary,IN
15,1979.0,Bitter Bitch,A??meric#an Pale Ale (APA),12.0,0.061,60.0,177,18th Street Brewery,Gary,IN
16,2318.0,Ginja Ninja,Cider,12.0,0.06,,,,Corvallis,OR
17,11380.276583513212,Cherried Away,Cider,12.0,0.06,,594.2518123460861,2 Towns Ciderhouse,Corvallis,OR
18,11040.46808594068,Rhubarbarian,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
19,1502.0,BrightCider,Cider,12.0,0.06,,154,2 Towns Ciderhouse,,OR
20,1593.0,He Said Baltic-Sty#le Porter,Baltic Porter,12.0,0.082,,368,21st Amendm??ent Brewery,,CA
21,1592.0,He Said Belgian-Style Tripel,Tripel,,0.082,,,21st Amendment Brewery,San Francisco,CA
22,,Lower De Boom,American Barleywine,8.4,0.49039317060336485,,368,21st Ame??ndment B#rewery,San Francisco,CA
23,1024.0,Fireside Chat,Winter Warmer,12.0,0.079,45.0,368,21st Amendment Brewery,%San Francisco,CA
24,976.0,Marooned On Hog Island,American Stout,12.0,0.4267797752727504,,368,21st Amendment Brewe@@ry,San Francisco,
25,876.0,Bitter American,American Pale Ale (APA),12.0,0.044,42.0,368,,,CA
26,802.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,San Francisco,CA
27,,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,65.75939957109404,0.17910873444715436,17.0,368,21st Amendmen#t Bre%wery,San Francisc#o,CA
