ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:0@@5 p#.m.,
2,airtravelcenter,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
3,allegiantair,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
4,boston??,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,,7:55 p.m.
5,businesstravellogue,,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
6,flightaware,,$4:55 p.$m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
7,flightexplorer,AA-1007-MIA-PHX,4:55# ??p.m.,5:08 p.m.,8:05 p.m??.,7:55 p.m.
8,flights,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
9,flightstats,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,
10,,AA-1007-MIA-PHX,4:55 p.@@m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
11,,AA-1007-MIA-PHX,4:55 p.m.,,8:05 p.m.,#7:5#5 p.m.
12,flytecomm,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,#7:55 p.m.@@
13,foxbusiness,AA-1007-MIA-PHX,,5:08 p.m.,??8:05 p.m.,7:55 p.m.
14,@@#gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 #p.m@@.,8:05 p.m.,7$:@@55 p.m.
15,helloflight,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,
16,,AA-1007-MIA-PHX,4%:5@@5 p.m.,5:08 p.m.,8:05@@ ??p.m.,7:55 p.m.
17,mytripandmore,AA-1007-MIA-PHX,4:55 %p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
18,orbitz,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
19,pany??n@@j,,4:55 p.m.,5:#08 p.m@@.,8:05 p.m.,7:55 p.m.
20,quickt#ri??p,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.$,8:05 p.m.,7:55 p.m.
21,wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m#.,8:05 p.m.,7:55 p.m.
22,#a??a,AA-1165-JFK-MIA,,,,10:04 a.m.
23,airtravelcenter,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
24,allegiantair,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
25,boston,AA-1165-JFK-MIA,6:#59 a.@@m.,7:22 a.m.,10:3@@4 a.m.,10:04 a.m.
26,businesstravellogue,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
27,flighta??ware,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.@@%,10:34 a.m.,
28,flightex#plorer,AA-1@@165-JFK-MIA,,7:22 a.m.,10:34 a.m.,10:04 a.m.
29,flights,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
30,flightstats,AA-116#5-JFK%-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
31,flightview,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
32,flylo??%uisville,AA-1165-JFK-MIA,6:59 a.m.,7#:22 a.%m.,10:34 a.m.,10:04 a.m.
33,flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,
34,foxbusiness,AA-1165-$JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m@@.,10:0@@4 a.??m.
35,gofox,,6:59 a.m??.,7:22 a.m.,10:34@@ a.m.,10:04 a.m.
36,helloflight,AA-1165-JFK-MIA,6:59 a.m.,,10:34 a.m.,10:04 a.m.
37,mia,AA-1165-JFK-MIA,6:59 a$.m.,7:22 a.m.,10:34 a.m.,1#0:04 a.@@m.
38,myrateplan,AA-1165-JFK-MIA,6:59 a.m.,,10:34 a.m.,10:04 a.m.
39,my??tripandmor@@e,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
40,orbitz,,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
41,,AA-1165-JFK-MIA,6:59 a.m$.,7:22 a.m.,10:34 a.m.,10:04 a.m.
42,quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
43,travelocity,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
44,weather,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
45,world-flight-tracker,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
46,wunderground,AA??-1165-JFK-MIA,6:59 a.m.,@@7:22 a.m.,10:34 a.m.,10:04 a.m.
47,@@aa$,AA-1221-MCO-ORD,8:00 p%??.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
48,airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
49,??a#llegiantair,AA-1221-MCO-ORD,8:0#0 %p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
50,boston,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
51,businesstravellogue,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
52,flightar@@rival,AA-1221-MCO-ORD,8:00 p.m.,8$:23 p.m.,9:45 p.m.,
53,,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
54,flightexplorer,AA-@@1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,
55,flights,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.@@m.
56,flightstats,,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
57,flightview,AA-1221-MCO-ORD,8%:@@00 p.m.,8:23 p.m.,9:??45 p.m.,9:53 p.m.
58,flylouisville,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
59,flytecomm,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
60,foxbusiness,AA$-1221-MCO-ORD,8:00@@ p.m.,8:23 p.m.,9:45 p.m.,
61,,AA-1221-MCO-ORD,8:00 p.m.,,9:45 p.m.,9%:53 p.m.
62,helloflight,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
63,mco,AA-1221-MCO-OR??D,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
64,myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
65,mytripandmore,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.%m.
66,orbitz,AA-1221-MCO-ORD,@@8:00 #p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
67,ord,AA-1221-MCO-ORD,,8:@@23 p.m.,9:45 p.m.,##9:53 p.m.
68,,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,
69,quicktrip,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
70,travelocity,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
71,usatoday,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,
72,#weat$her,AA-1221-MCO-ORD,8:0@@0 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
73,world-flight-tracker,#AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,
74,wunderground,AA-1221-MCO-ORD,8:00 p@@.m.,,9:45 p.m.,9:53 p.m.
75,aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,
76,,AA-127@@9-DFW-#PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,
77,allegiantair,AA-1279-DFW-PHX,1:00 p.m.,2:04% p.m$.,2:35 p.m.,3:30 p.m.
78,boston,AA-1279-DFW-PHX,1:0$0 p.m.,2:04 p.m.,2:3%5 p.m.,3:30 p.m.
79,businesstravellogue,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p%.m.
80,dfw,AA-1279-DFW-PHX,,2:%04 p.m.,2:35 p.m.,3:30 p.m.
