ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295.0,Late repair of injuries of the anal sphincter,%eng,,Proce$edings of the Royal Society of Medici$ne,0035-9157 (Print) 0035-9157,64.0,,1/1/71,1187-9,{A. G. ParksJ. F. McPartlin}
2,498345.0,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,E??NG$,The Journal of infectious diseases,J. Infect. Dis.,1537-6613,-1.0,-1.0,2/15/04,,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLa$urie Repiquet-PaireViktor E Volchkov}
3,3572852.7737189806,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,,030??1-4738,54.0,4.0,1/6/12,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
4,,[Noninvasive p@@renatal diagnosis of trisomy 21 18 and 13 using $cell-free fetal DNA],pol,,,,84.0,0.0,$1/13/0%1,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653.0,Diagnosis and Management of C#utaneous B-cell Lymphoma.,,Dermatologic clinics,Dermatol Clin,1558-052@@??0,33.0,4.0,,835@@-40%,{Lauren C Pinter-Brown}
6,98234.0,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,eng,,,,10.0,,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730.0,Activation an@@d blockade of beta adrenoceptors in common cardiac disorders,eng,Br Med Bull,British medical bulletin,0007-1420,29.0,2.0,1/1/73,163-7,{B N PrichardJ W Black}
8,,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABST$RACT LANGUAGE:English,American journal of respiratory and critical care medicine,,,164.0,1.0,,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,396821.0,Awareness of deficits and on-road driving performance,English,Clinica@@l Neuropsychologist,,1385-4046,25.0,,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222.0,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,,,79.0,938.0,1/6/01,158-61,{K. FlemingK. DonatoK. Leszczynski}
