ID,age,income
1,48,85300
2,61,41800
3,45,61500
4,24,18100
5,55,96900
6,46,90900
7,53,99000
8,28,42100
9,21,30100
10,37,55000
11,50,88500
12,21,15000
13,50,81600
14,19,24400
15,50,84000
16,48,86300
17,60,48900
18,52,93600
19,38,64700
20,32,62400
21,34,38300
22,32,34100
23,66,50400
24,63,54500
25,35,35200
26,22,19900
27,65,51500
28,63,50900
29,38,59100
30,55,108000
31,23,20200
32,48,58200
33,18,20000
34,20,17100
35,48,79700
36,39,43100
37,25,28000
38,32,41400
39,20,32000
40,33,30500
41,32,41900
42,28,32700
43,58,51200
44,34,41800
45,30,38900
46,25,40900
47,51,99200
48,52,81400
49,28,39300
50,46,67600
51,52,102500
52,39,55000
53,50,95000
54,37,40300
55,62,48100
56,63,45100
57,33,36600
58,28,43700
59,56,83800
60,22,19000
61,44,73900
62,26,26500
63,28,21600
64,48,96900
65,43,60000
66,20,22600
67,22,30900
68,60,51100
69,19,21800
70,51,78300
71,30,33700
72,38,68700
73,53,83800
74,54,91700
75,42,59800
76,61,57800
77,25,44500
78,32,29700
79,27,40800
80,64,59000
81,35,58000
82,36,66900
83,16,10100
84,35,60900
85,26,31100
86,32,50000
87,30,34000
88,27,39300
89,20,26900
90,20,24200
91,58,98000
92,34,26800
93,31,32900
94,48,85100
95,16,23600
96,18,22500
97,43,56000
98,34,65700
99,61,59000
100,29,37600
101,50,81800
102,29,28900
103,29,27800
104,52,93800
105,62,51600
106,52,84200
107,36,61600
108,18,22600
109,56,100000
110,38,33400
111,48,66000
112,59,59200
113,26,41100
114,68,56200
115,59,49200
116,31,25800
117,47,67900
118,63,56900
119,51,75000
120,51,88900
121,26,23800
122,38,66100
123,53,91200
124,42,52600
125,43,60200
126,60,55500
127,17,22000
128,39,61700
129,47,86600
130,65,67600
131,37,59100
132,31,38300
133,41,56700
134,37,39100
135,60,58600
136,63,64100
137,42,60100
138,44,60900
139,43,62900
140,25,15400
141,34,41800
142,36,73600
143,41,59300
144,37,56000
145,46,85500
146,66,55700
147,37,57500
148,27,39000
149,21,25100
150,32,44300
151,61,51900
152,39,31500
153,50,87700
154,40,63500
155,58,56000
156,61,57500
157,50,80400
158,39,42300
159,58,72400
160,34,32400
161,57,90000
162,38,57600
163,23,21800
164,17,13200
165,20,18800
166,32,56100
167,61,55100
168,68,56000
169,39,62900
170,20,21800
171,28,42600
172,54,81900
173,60,52800
174,23,19500
175,32,50000
176,61,39200
177,45,65100
178,17,27500
179,59,56000
180,40,64600
181,47,89100
182,24,19100
183,63,42800
184,62,56000
185,27,50000
186,59,51500
187,65,51500
188,38,69900
189,26,35100
190,23,23800
191,27,32900
192,46,60900
193,56,90600
194,42,69500
195,58,57200
196,20,31200
197,60,52400
198,60,48000
199,24,24000
200,55,76400
201,21,26900
202,42,65500
203,22,17800
204,47,75600
205,46,62500
206,48,77500
207,58,55500
208,42,62900
209,37,31600
210,38,61100
211,47,64300
212,65,54400
213,20,24200
214,25,35300
215,61,61200
216,33,36700
217,16,21000
218,65,60900
219,41,56000
220,25,13500
221,43,64700
222,65,40700
223,43,85100
224,40,56900
225,16,18900
226,69,66500
227,27,33600
228,36,41400
229,58,78500
230,45,78100
231,23,20600
232,63,59000
233,58,51100
234,60,56400
235,47,85600
236,16,8000
237,26,23000
238,32,36100
239,65,52000
240,49,92100
241,60,52700
242,48,85700
243,43,62500
244,21,17200
245,55,77700
246,35,53700
247,50,76500
248,44,101700
249,67,53100
250,28,14800
251,33,44500
252,24,32000
253,44,65900
254,21,20900
255,44,67600
256,28,28300
257,16,21600
258,32,40100
259,51,91400
260,25,19600
261,32,44800
262,19,22400
263,60,47200
264,16,31400
265,33,41100
266,39,52300
267,61,60200
268,34,68800
269,63,48900
270,64,62600
271,26,20800
272,23,10500
273,41,60900
274,47,71900
275,66,51300
276,50,91500
277,38,59700
278,23,28900
279,23,23500
280,47,84000
281,63,61000
282,21,24100
283,40,56100
284,65,55400
285,52,69700
286,62,51400
287,41,64800
288,35,59700
289,34,55600
290,34,38500
291,26,41100
292,55,81800
293,40,57600
294,61,56300
295,28,20700
296,50,94500
297,31,43100
298,34,38400
299,64,54100
300,36,42100
