ID,age,income
1,,85300.0
2,61.0,41800.0
3,45.0,362560.31140372664
4,,18100.0
5,55.0,96900.0
6,239.1744232172477,90900.0
7,53.0,99000.0
8,28.0,42100.0
9,21.0,30100.0
10,37.0,55000.0
11,219.17542334398377,88500.0
12,94.4252648252142,67190.08926771728
13,50.0,
14,19.0,24400.0
15,50.0,84000.0
16,48.0,
17,60.0,48900.0
18,306.74018779772763,93600.0
19,38.0,356604.27860048506
20,,62400.0
21,34.0,38300.0
22,32.0,34100.0
23,66.0,
24,63.0,54500.0
25,35.0,35200.0
26,22.0,
27,65.0,51500.0
28,63.0,50900.0
29,38.0,59100.0
30,55.0,108000.0
31,23.0,120454.02997797441
32,48.0,58200.0
33,18.0,100866.21556511761
34,20.0,17100.0
35,48.0,79700.0
36,39.0,43100.0
37,25.0,28000.0
38,104.91679189765807,41400.0
39,105.06333036502285,123977.17049848427
40,33.0,30500.0
41,32.0,41900.0
42,28.0,32700.0
43,58.0,51200.0
44,34.0,41800.0
45,30.0,38900.0
46,,40900.0
47,51.0,99200.0
48,52.0,
49,28.0,39300.0
50,46.0,67600.0
51,52.0,
52,39.0,55000.0
53,,95000.0
54,221.05499279489155,40300.0
55,62.0,48100.0
56,195.082500348723,201433.6520133462
57,33.0,36600.0
58,28.0,
59,56.0,83800.0
60,22.0,19000.0
61,44.0,73900.0
62,26.0,26500.0
63,28.0,79142.05400378145
64,48.0,96900.0
65,194.83083847534664,60000.0
66,20.0,122083.27335810078
67,22.0,143663.4730871562
68,,51100.0
69,19.0,21800.0
70,51.0,78300.0
71,30.0,
72,38.0,68700.0
73,172.1296481377987,83800.0
74,54.0,91700.0
75,42.0,198268.61770179681
76,61.0,57800.0
77,25.0,44500.0
78,32.0,29700.0
79,27.0,40800.0
80,64.0,59000.0
81,154.68218147887566,58000.0
82,36.0,66900.0
83,16.0,10100.0
84,35.0,60900.0
85,26.0,31100.0
86,,50000.0
87,30.0,34000.0
88,27.0,39300.0
89,20.0,152238.1202280627
90,20.0,24200.0
91,58.0,98000.0
92,34.0,26800.0
93,31.0,32900.0
94,48.0,85100.0
95,,23600.0
96,,
97,43.0,271958.42299671454
98,,65700.0
99,61.0,
100,29.0,37600.0
101,50.0,313114.671710771
102,29.0,28900.0
103,29.0,
104,52.0,93800.0
105,,51600.0
106,219.88664311729582,
107,36.0,61600.0
108,18.0,22600.0
109,56.0,347464.0750642281
110,38.0,33400.0
111,48.0,66000.0
112,59.0,59200.0
113,26.0,41100.0
114,68.0,56200.0
115,59.0,49200.0
116,31.0,25800.0
117,,67900.0
118,63.0,56900.0
119,51.0,75000.0
120,51.0,88900.0
121,26.0,82351.05149224242
122,38.0,
123,53.0,91200.0
124,42.0,52600.0
125,,303493.8174774239
126,60.0,
127,17.0,22000.0
128,39.0,61700.0
129,47.0,86600.0
130,343.62784096020727,67600.0
131,156.39984342683874,59100.0
132,31.0,
133,204.48833000332613,56700.0
134,203.05304544996528,39100.0
135,,58600.0
136,63.0,247996.33207260355
137,42.0,60100.0
138,44.0,60900.0
139,152.89959998102665,62900.0
140,25.0,15400.0
141,34.0,41800.0
142,36.0,337854.4430193415
143,,59300.0
144,37.0,56000.0
145,46.0,424678.69134146476
146,66.0,55700.0
147,37.0,57500.0
148,27.0,
149,21.0,25100.0
150,32.0,44300.0
151,61.0,51900.0
152,200.41214644795042,
153,50.0,298821.036794707
154,40.0,63500.0
155,247.8348795895596,56000.0
156,61.0,57500.0
157,50.0,80400.0
158,,42300.0
159,58.0,72400.0
160,171.4633440774756,32400.0
161,57.0,90000.0
162,,57600.0
163,23.0,21800.0
164,17.0,13200.0
165,20.0,18800.0
